teamID,teamID_out,yearID,n
HR1,WS3,1874,5
HR1,WS4,1874,4
HR1,WS5,1874,4
NY2,BL1,1874,7
NY2,BR1,1874,3
NY2,BR2,1874,4
NY2,ELI,1874,1
NY2,FW1,1874,6
NY2,HR1,1874,1
NY2,TRO,1874,2
NY2,WS3,1874,1
PH1,BR1,1874,1
PH1,CL1,1874,3
PH1,MID,1874,2
PH1,NY2,1874,3
PH1,RC1,1874,1
PH1,TRO,1874,4
BS1,BL1,1874,3
BS1,CL1,1874,2
BS1,MID,1874,1
BS1,WS3,1874,4
BS1,WS5,1874,1
PH2,BL1,1874,10
PH2,BR1,1874,1
PH2,BR2,1874,1
PH2,CL1,1874,5
PH2,NY2,1874,13
PH2,PH1,1874,6
PH2,RC1,1874,3
PH2,TRO,1874,2
PH2,WS5,1874,1
BL1,BL4,1874,6
BL1,BR2,1874,1
BL1,BS1,1874,5
BL1,CL1,1874,1
BL1,FW1,1874,3
BL1,HR1,1874,2
BL1,MID,1874,4
BL1,PH2,1874,2
BL1,WS3,1874,11
BL1,WS4,1874,2
BL1,WS5,1874,4
BR2,BL1,1874,1
BR2,BR1,1874,3
BR2,BS1,1874,1
BR2,CH1,1874,1
BR2,CL1,1874,1
BR2,ELI,1874,5
BR2,MID,1874,1
BR2,NY2,1874,8
BR2,TRO,1874,1
BR2,WS3,1874,1
CH2,BL1,1874,6
CH2,BR1,1874,4
CH2,CH1,1874,5
CH2,PH1,1874,8
CH2,PH2,1874,9
CH2,TRO,1874,6
CH2,WS3,1874,4
CH2,WS4,1874,2
CH2,WS5,1874,2
PH3,BL1,1875,4
PH3,BR2,1875,1
PH3,CH1,1875,1
PH3,CH2,1875,1
PH3,ELI,1875,2
PH3,NH1,1875,3
PH3,NY2,1875,2
PH3,PH1,1875,11
PH3,PH2,1875,12
PH3,TRO,1875,1
PH3,WS6,1875,3
BR2,BR1,1875,6
BR2,CL1,1875,8
BR2,ELI,1875,7
BR2,HR1,1875,3
BR2,NH1,1875,5
BR2,NY2,1875,9
BR2,PH2,1875,2
BR2,PH3,1875,1
BR2,SL2,1875,4
BR2,WS6,1875,1
PH2,BL1,1875,5
PH2,BR1,1875,4
PH2,BS1,1875,1
PH2,CH1,1875,5
PH2,CH2,1875,11
PH2,HR1,1875,6
PH2,MID,1875,1
PH2,NY2,1875,6
PH2,PH1,1875,21
PH2,PH3,1875,1
PH2,RC1,1875,6
PH2,TRO,1875,9
PH2,WS5,1875,1
PH2,WS6,1875,4
WS6,BL1,1875,2
WS6,BL4,1875,3
WS6,BR2,1875,3
WS6,CL1,1875,2
WS6,ELI,1875,1
WS6,FW1,1875,1
WS6,HR1,1875,7
WS6,PH2,1875,4
WS6,PH3,1875,3
WS6,WS3,1875,5
WS6,WS4,1875,5
WS6,WS5,1875,5
HR1,BL1,1875,10
HR1,BR1,1875,1
HR1,BR2,1875,18
HR1,CH2,1875,1
HR1,CL1,1875,2
HR1,ELI,1875,2
HR1,FW1,1875,2
HR1,KEO,1875,2
HR1,NY2,1875,13
HR1,PH2,1875,5
HR1,TRO,1875,2
HR1,WS3,1875,2
HR1,WS6,1875,2
PH1,BL1,1875,7
PH1,BS1,1875,1
PH1,CH2,1875,3
PH1,CL1,1875,4
PH1,MID,1875,1
PH1,NY2,1875,5
PH1,PH2,1875,10
PH1,PH3,1875,5
PH1,RC1,1875,1
PH1,TRO,1875,2
PH1,WS3,1875,2
NH1,BL1,1875,6
NH1,BL4,1875,1
NH1,BR2,1875,8
NH1,BS1,1875,3
NH1,CL1,1875,4
NH1,HR1,1875,2
NH1,MID,1875,1
NH1,NY2,1875,1
