id,franchID,franchName,wins,losses,R,AB,salary_mean,salary_sum
1889,CLS,Columbus Solons,60,78,779,4816,NA,NA
1889,CLV,Cleveland Spiders,61,72,656,4673,NA,NA
1889,IND,Indianapolis Hoosiers,59,75,819,4879,NA,NA
1889,KCC,Kansas City Cowboys,55,82,852,4947,NA,NA
1889,LAD,Los Angeles Dodgers,93,44,995,4815,NA,NA
1889,LOU,Louisville Colonels,27,111,632,4955,NA,NA
1889,PHA,Philadelphia Athletics,75,58,880,4868,NA,NA
1889,PHI,Philadelphia Phillies,63,64,742,4695,NA,NA
1889,PIT,Pittsburgh Pirates,61,71,726,4748,NA,NA
1889,SFG,San Francisco Giants,83,43,935,4671,NA,NA
1889,STL,St. Louis Cardinals,90,45,957,4939,NA,NA
1889,WNL,Washington Nationals,41,83,632,4395,NA,NA
1890,ATL,Atlanta Braves,76,57,763,4722,NA,NA
1890,BFB,Buffalo Bisons,36,96,793,4795,NA,NA
1890,BLO,Baltimore Orioles,15,19,182,1213,NA,NA
1890,BRG,Brooklyn Gladiators,26,73,492,3475,NA,NA
1890,BRS,Boston Reds,81,48,992,4626,NA,NA
1890,BWW,Brooklyn Ward's Wonders,76,56,964,4887,NA,NA
1890,CHC,Chicago Cubs,83,53,847,4891,NA,NA
1890,CHP,Chicago Pirates,75,62,886,4968,NA,NA
1890,CIN,Cincinnati Reds,77,55,753,4644,NA,NA
1890,CLI,Cleveland Infants,55,75,849,4804,NA,NA
1890,CLS,Columbus Solons,79,55,831,4741,NA,NA
1890,CLV,Cleveland Spiders,44,88,630,4633,NA,NA
1890,LAD,Los Angeles Dodgers,86,43,884,4419,NA,NA
1890,LOU,Louisville Colonels,88,44,819,4687,NA,NA
1890,NYI,New York Giants,74,57,1018,4913,NA,NA
1890,PBB,Pittsburgh Burghers,60,68,835,4577,NA,NA
1890,PHA,Philadelphia Athletics,54,78,702,4490,NA,NA
1890,PHI,Philadelphia Phillies,78,53,823,4707,NA,NA
1890,PHQ,Philadelphia Athletics,68,63,941,4855,NA,NA
1890,PIT,Pittsburgh Pirates,23,113,597,4739,NA,NA
1890,ROC,Rochester Broncos,63,63,709,4553,NA,NA
1890,SFG,San Francisco Giants,63,68,713,4832,NA,NA
1890,STL,St. Louis Cardinals,78,58,870,4800,NA,NA
1890,SYS,Syracuse Stars,55,72,698,4469,NA,NA
1890,TLM,Toledo Maumees,68,64,739,4575,NA,NA
1891,ATL,Atlanta Braves,87,51,847,4956,NA,NA
1891,BLO,Baltimore Orioles,71,64,850,4771,NA,NA
1891,BRS,Boston Reds,93,42,1028,4889,NA,NA
1891,CHC,Chicago Cubs,82,53,832,4873,NA,NA
1891,CIN,Cincinnati Reds,56,81,646,4791,NA,NA
1891,CKK,Cincinnati Kelly's Killers,43,57,549,3574,NA,NA
1891,CLS,Columbus Solons,61,76,702,4697,NA,NA
1891,CLV,Cleveland Spiders,65,74,835,5074,NA,NA
1891,LAD,Los Angeles Dodgers,61,76,765,4748,NA,NA
1891,LOU,Louisville Colonels,54,83,713,4833,NA,NA
1891,MLA,Milwaukee Brewers,21,15,227,1271,NA,NA
1891,PHI,Philadelphia Phillies,68,69,756,4929,NA,NA
1891,PHQ,Philadelphia Athletics,73,66,817,5039,NA,NA
1891,PIT,Pittsburgh Pirates,55,80,679,4794,NA,NA
1891,SFG,San Francisco Giants,71,61,754,4833,NA,NA
1891,STL,St. Louis Cardinals,85,51,976,5005,NA,NA
1891,WAS,Washington Senators,44,91,691,4715,NA,NA
1892,ATL,Atlanta Braves,102,48,862,5301,NA,NA
1892,BLO,Baltimore Orioles,46,101,779,5296,NA,NA
1892,CHC,Chicago Cubs,70,76,635,5063,NA,NA
1892,CIN,Cincinnati Reds,82,68,766,5349,NA,NA
1892,CLV,Cleveland Spiders,93,56,855,5412,NA,NA
1892,LAD,Los Angeles Dodgers,95,59,935,5485,NA,NA
1892,LOU,Louisville Colonels,63,89,649,5334,NA,NA
1892,PHI,Philadelphia Phillies,87,66,860,5413,NA,NA
1892,PIT,Pittsburgh Pirates,80,73,802,5469,NA,NA
1892,SFG,San Francisco Giants,71,80,811,5291,NA,NA
1892,STL,St. Louis Cardinals,56,94,703,5259,NA,NA
1892,WAS,Washington Senators,58,93,731,5204,NA,NA
1893,ATL,Atlanta Braves,86,43,1008,4678,NA,NA
1893,BLO,Baltimore Orioles,60,70,820,4651,NA,NA
1893,CHC,Chicago Cubs,56,71,829,4664,NA,NA
1893,CIN,Cincinnati Reds,65,63,759,4617,NA,NA
1893,CLV,Cleveland Spiders,73,55,976,4747,NA,NA
1893,LAD,Los Angeles Dodgers,65,63,775,4511,NA,NA
1893,LOU,Louisville Colonels,50,75,759,4566,NA,NA
1893,PHI,Philadelphia Phillies,72,57,1011,5151,NA,NA
1893,PIT,Pittsburgh Pirates,81,48,970,4834,NA,NA
1893,SFG,San Francisco Giants,68,64,941,4858,NA,NA
1893,STL,St. Louis Cardinals,57,75,745,4879,NA,NA
1893,WAS,Washington Senators,40,89,722,4742,NA,NA
1894,ATL,Atlanta Braves,83,49,1220,5011,NA,NA
1894,BLO,Baltimore Orioles,89,39,1171,4799,NA,NA
1894,CHC,Chicago Cubs,57,75,1041,4960,NA,NA
1894,CIN,Cincinnati Reds,55,75,910,4671,NA,NA
1894,CLV,Cleveland Spiders,68,61,932,4764,NA,NA
1894,LAD,Los Angeles Dodgers,70,61,1021,4816,NA,NA
1894,LOU,Louisville Colonels,36,94,692,4482,NA,NA
