name,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,time_0900_0959
"Augusta-Waterville, ME",44.40916,-69.767264,20.49013080177839,46559.0,22.996292017589624,43.6,86.0,9.0,3.0,81.0,9.0,0.0,4.0,2.0,4.0,3.0
"Austin, MN",43.67147,-92.752514,18.696848161602585,47623.0,17.4897936357027,39.0,87.0,7.0,3.0,79.0,9.0,2.0,4.0,2.0,4.0,2.0
"Austin-Round Rock, TX",30.262609,-97.654447,23.050080775444265,61900.0,25.852790487795456,33.3,79.0,12.0,6.0,76.0,11.0,2.0,2.0,2.0,7.0,7.0
"Bainbridge, GA",30.878344,-84.57907,24.625281440977805,31090.0,22.848967913345597,38.3,88.0,5.0,4.0,81.0,10.0,1.0,1.0,5.0,2.0,2.0
"Bakersfield, CA",35.342849,-118.7299,24.679869889241157,48574.0,23.710022094244632,31.0,81.0,14.0,4.0,77.0,15.0,1.0,2.0,3.0,3.0,3.0
"Baltimore-Columbia-Towson, MD",39.305542,-76.551009,22.869821222852753,70311.0,30.317864116592226,38.2,87.0,7.0,3.0,77.0,9.0,6.0,3.0,1.0,4.0,5.0
"Bangor, ME",45.400512,-68.649428,21.336685899018924,44543.0,21.89113787942634,40.8,84.0,9.0,4.0,80.0,10.0,1.0,4.0,2.0,4.0,3.0
"Baraboo, WI",43.426829,-89.948407,20.571966576438744,50982.0,21.52721286073988,40.2,88.0,7.0,3.0,80.0,10.0,0.0,4.0,2.0,4.0,3.0
"Bardstown, KY",37.805131,-85.465989,19.239951812506845,45655.0,25.910675030829445,37.9,87.0,7.0,4.0,85.0,10.0,0.0,1.0,1.0,3.0,3.0
"Barnstable Town, MA",41.773449,-70.238137,25.111612578534668,61597.0,24.131917755572637,50.8,91.0,5.0,2.0,83.0,6.0,1.0,3.0,1.0,5.0,7.0
"Barre, VT",44.273384,-72.614978,22.088415418660905,58293.0,22.542959510226797,42.9,89.0,6.0,2.0,74.0,11.0,1.0,6.0,1.0,7.0,4.0
"Bartlesville, OK",36.715236,-95.90437,16.67280540208717,48870.0,17.215256971652455,40.1,83.0,9.0,4.0,82.0,12.0,0.0,2.0,1.0,3.0,4.0
"Bastrop, LA",32.820218,-91.801797,20.774448841153195,28304.0,25.160212201591513,38.8,94.0,3.0,2.0,87.0,9.0,0.0,1.0,1.0,1.0,3.0
"Batavia, NY",43.000934,-78.193711,19.43329444565282,50573.0,21.391590288952635,42.3,90.0,6.0,3.0,84.0,8.0,0.0,3.0,1.0,3.0,4.0
"Batesville, AR",35.74158,-91.569724,19.532415851434255,36186.0,19.46681430776458,38.5,85.0,8.0,4.0,84.0,11.0,0.0,2.0,1.0,2.0,1.0
"Baton Rouge, LA",30.57105,-91.132784,19.610642690385692,51829.0,26.304005089340045,34.5,86.0,8.0,4.0,84.0,10.0,1.0,2.0,1.0,3.0,3.0
"Battle Creek, MI",42.246534,-85.005591,21.00048612236394,43199.0,20.09718343720526,40.0,84.0,10.0,4.0,81.0,11.0,1.0,4.0,1.0,3.0,4.0
"Bay City, MI",43.721366,-83.941835,18.715957563163073,45715.0,21.174235529668728,42.3,87.0,9.0,3.0,86.0,8.0,1.0,2.0,1.0,3.0,4.0
"Bay City, TX",28.785651,-96.003981,17.906458797327392,40410.0,22.31962945432416,37.4,89.0,7.0,3.0,81.0,13.0,0.0,3.0,1.0,2.0,3.0
"Beatrice, NE",40.26193,-96.689442,16.156341159911058,49021.0,20.47036643140288,44.4,88.0,6.0,3.0,81.0,12.0,0.0,2.0,0.0,5.0,2.0
"Beaumont-Port Arthur, TX",30.277847,-94.071821,18.677667521462816,44845.0,21.76564223012753,36.9,85.0,8.0,5.0,86.0,9.0,0.0,1.0,1.0,2.0,3.0
"Beaver Dam, WI",43.416295,-88.707508,20.82385455639324,53189.0,21.845924869000466,41.5,88.0,6.0,5.0,84.0,7.0,0.0,3.0,1.0,4.0,2.0
"Beckley, WV",37.906234,-81.160904,16.691705952442625,38606.0,24.57460413421071,41.5,89.0,6.0,3.0,83.0,9.0,0.0,3.0,2.0,2.0,3.0
"Bedford, IN",38.841163,-86.483451,18.773146589455255,44553.0,25.358036925002608,41.7,89.0,7.0,4.0,87.0,9.0,1.0,1.0,0.0,2.0,3.0
"Beeville, TX",28.417393,-97.74119,18.342996789496382,41738.0,23.203943314849045,36.2,77.0,6.0,15.0,78.0,14.0,0.0,3.0,2.0,3.0,3.0
"Bellefontaine, OH",40.388453,-83.765872,19.233311302048907,48416.0,22.843961070042013,40.1,87.0,8.0,4.0,80.0,11.0,0.0,2.0,1.0,4.0,2.0
"Bellingham, WA",48.829736,-121.87287,23.71711456859972,53025.0,20.754581709011067,36.5,83.0,11.0,3.0,74.0,9.0,3.0,5.0,3.0,6.0,7.0
"Bemidji, MN",47.973781,-94.937653,20.268242782450557,43990.0,20.127950110209127,33.4,85.0,8.0,5.0,75.0,11.0,3.0,3.0,2.0,7.0,3.0
"Bend-Redmond, OR",43.914883,-121.227892,25.89545014520813,49584.0,18.761975861639915,41.4,82.0,12.0,3.0,76.0,9.0,1.0,3.0,3.0,8.0,8.0
"Bennettsville, SC",34.601985,-79.678627,20.524943507735095,28765.0,24.076447442383362,39.6,89.0,4.0,4.0,83.0,12.0,0.0,1.0,1.0,2.0,4.0
"Bennington, VT",43.035463,-73.092952,24.607021885077987,49303.0,18.790790540962128,45.8,87.0,7.0,2.0,77.0,8.0,0.0,5.0,2.0,7.0,5.0
"Berlin, NH-VT",44.6999,-71.421559,21.664994984954863,40877.0,22.109730594169026,48.0,87.0,8.0,2.0,80.0,10.0,0.0,4.0,1.0,6.0,3.0
"Big Rapids, MI",43.640796,-85.32462,20.051490246559066,40396.0,22.96615500754907,34.8,82.0,9.0,8.0,78.0,10.0,1.0,6.0,2.0,4.0,4.0
"Big Spring, TX",32.088705,-101.47798,15.329724409448819,48768.0,17.880520062766195,37.1,82.0,10.0,5.0,80.0,15.0,0.0,2.0,1.0,2.0,3.0
"Big Stone Gap, VA",37.042139,-82.500064,16.923076923076923,35880.0,23.80496794062705,40.4,88.0,6.0,4.0,84.0,11.0,0.0,2.0,1.0,2.0,2.0
"Billings, MT",45.780714,-108.717604,19.673277519861696,51481.0,19.756023563320102,38.9,84.0,10.0,3.0,79.0,11.0,1.0,3.0,2.0,4.0,4.0
"Binghamton, NY",42.164474,-76.025133,19.159246220749637,48290.0,20.0,40.6,86.0,9.0,3.0,80.0,9.0,3.0,4.0,1.0,4.0,5.0
"Birmingham-Hoover, AL",33.463841,-86.813868,21.503778025517157,48438.0,26.10635667311087,38.1,85.0,9.0,3.0,85.0,9.0,1.0,1.0,1.0,3.0,4.0
