id,id_out,year,count
PRO,NHV,1878,1
PRO,NNA,1878,3
PRO,OLY,1878,2
PRO,PNA,1878,2
PRO,PWS,1878,3
PRO,RES,1878,1
PRO,ROK,1878,1
PRO,SBS,1878,2
PRO,SLR,1878,1
PRO,SNA,1878,2
PRO,TRO,1878,3
PRO,WBL,1878,1
ATL,ATH,1879,1
ATL,BLC,1879,1
ATL,BRA,1879,2
ATL,CFC,1879,1
ATL,CHC,1879,1
ATL,CNR,1879,1
ATL,HAR,1879,2
ATL,HNA,1879,3
ATL,LGR,1879,1
ATL,NNA,1879,1
ATL,PNA,1879,1
ATL,PWS,1879,1
ATL,WBL,1879,1
ATL,WES,1879,1
BUF,ATH,1879,2
BUF,BLC,1879,1
BUF,BRA,1879,1
BUF,CHC,1879,1
BUF,CNA,1879,1
BUF,IBL,1879,1
BUF,LGR,1879,2
BUF,MAN,1879,1
BUF,NNA,1879,2
BUF,NYU,1879,1
BUF,OLY,1879,1
BUF,PNA,1879,3
BUF,PWS,1879,3
BUF,ROK,1879,1
BUF,SBS,1879,2
BUF,SNA,1879,1
BUF,TRO,1879,1
CBL,ATH,1879,1
CBL,BLC,1879,1
CBL,CEN,1879,1
CBL,CHC,1879,1
CBL,CNR,1879,1
CBL,HAR,1879,1
CBL,HNA,1879,1
CBL,IBL,1879,2
CBL,KEK,1879,1
CBL,NNA,1879,1
CBL,PRO,1879,1
CBL,WES,1879,1
CHC,ATL,1879,1
CHC,BRA,1879,2
CHC,CFC,1879,1
CHC,CNA,1879,1
CHC,HAR,1879,3
CHC,HNA,1879,3
CHC,IBL,1879,4
CHC,LGR,1879,1
CHC,MLG,1879,2
CHC,NNA,1879,2
CHC,NYU,1879,1
CHC,PNA,1879,1
CHC,PRO,1879,1
CHC,PWS,1879,1
CHC,ROK,1879,1
CHC,SBS,1879,1
CHC,SLR,1879,1
CHC,WNT,1879,1
CNR,ATL,1879,2
CNR,BLC,1879,2
CNR,BNA,1879,3
CNR,CFC,1879,1
CNR,CHC,1879,3
CNR,CNA,1879,1
CNR,LGR,1879,1
CNR,MLG,1879,1
CNR,NNA,1879,1
CNR,PRO,1879,1
CNR,WBL,1879,1
PRO,ATL,1879,3
PRO,BLC,1879,2
PRO,BNA,1879,2
PRO,CHC,1879,2
PRO,CNA,1879,1
PRO,CNR,1879,1
