departement,hollande,sarkozy,le_pen,melenchon,bayrou,joly,dupont_aignan,poutou,arthaud,cheminade,hollande_2,sarkozy_2,lat,lon
Meuse,23.4,26.56,25.82,8.85,9.23,1.6,2.04,1.5,0.7,0.31,46.2,53.8,48.99104012,5.3814699
Moselle,24.53,25.93,24.73,9.52,9.29,1.73,1.86,1.39,0.76,0.27,46.52,53.48,49.03753897,6.66120686
Vosges,24.68,25.32,24.18,9.68,9.4,1.76,2.38,1.56,0.75,0.29,49.06,50.94,48.1961854,6.38015906
Bas-Rhin,19.58,33.62,21.21,7.22,11.94,2.76,1.73,1.02,0.64,0.28,36.56,63.44,48.67153142,7.55196354
Haut-Rhin,18.89,31.91,23.43,7.42,11.39,2.71,2.1,1.19,0.64,0.33,36.67,63.33,47.85931931,7.27401762
Doubs,26.28,28.49,19.19,10.96,8.8,2.35,1.84,1.18,0.65,0.26,48.09,51.91,47.16579859,6.36270767
Jura,24.6,25.83,20.41,12.55,9.62,2.4,2.29,1.32,0.7,0.28,49.42,50.58,46.72933157,5.69749382
Haute-Saône,26.38,25.23,25.12,9.64,7.61,1.58,2.03,1.36,0.77,0.28,49.64,50.36,47.64115501,6.0871138
Territoire de Belfort,26.01,23.88,23.74,11.41,8.85,2.02,1.79,1.32,0.7,0.29,50.52,49.48,47.63181007,6.92846209
Loire-Atlantique,31.76,26.07,12.18,11.65,11.3,3.15,1.84,1.25,0.58,0.23,56.35,43.65,47.36180439,-1.68039746
Maine-et-Loire,27.1,29.93,13.88,9.35,12.77,2.36,2.21,1.39,0.75,0.26,48.85,51.15,47.39104846,-0.5639333
Mayenne,25.87,30.69,14.77,8.3,13.78,2.12,2.14,1.31,0.78,0.23,46.93,53.07,48.14728009,-0.65745067
Sarthe,28.13,26.43,19.17,10.78,9.14,1.89,2.15,1.34,0.75,0.23,52.67,47.33,47.99480789,0.22237889
Vendée,24.81,32.89,15.18,8.46,12.13,1.88,2.33,1.45,0.63,0.24,44.41,55.59,46.67456939,-1.29946848
Côtes-d'Armor,33.02,23.86,13.58,12.2,10.6,2.78,1.71,1.33,0.67,0.24,59.19,40.81,48.44292126,-2.86534143
Finistère,33.7,24.46,11.98,11.52,11.27,2.95,1.78,1.48,0.6,0.27,58.87,41.13,48.26181885,-4.06290863
Ille-et-Vilaine,31.77,26.02,12.39,10.35,12.35,3.17,1.83,1.22,0.67,0.24,55.71,44.29,48.15633744,-1.63854232
Morbihan,28.29,28.15,15.55,10.24,10.85,2.81,1.85,1.37,0.61,0.27,51.73,48.27,47.84586176,-2.81160365
Charente,32.79,23.06,17.72,11.32,8.81,1.83,2.04,1.47,0.7,0.25,58.83,41.17,45.71859648,0.20291287
