season,series,city,country,year,month,day,round,group,num_skater,name,nationality,rank_in_group,start_position,time,qualification,rank_lap1,time_lap1,rank_lap2,time_lap2,rank_lap3,time_lap3,rank_lap4,time_lap4,rank_lap5,time_lap5,time_event
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,20,124,Olivier JEAN,CAN,1,2,41.846,Q,2,7.03,2,8.97,1,8.52,1,8.62,1,8.71,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,20,128,WU Dajing,CHN,2,1,42.033,Q,1,6.9,1,9.03,2,8.68,2,8.7,2,8.73,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,20,176,Yuzo TAKAMIDO,JPN,3,4,42.403,q,3,7.18,3,8.96,3,8.71,3,8.74,3,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,20,162,Stephen Paul KILARI,IND,4,3,49.02,NA,4,7.76,4,10.38,4,10.1,4,10.31,4,10.47,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,21,210,Vladimir GRIGOREV,RUS,1,2,41.889,Q,2,7.0,1,8.82,1,8.54,1,8.68,1,8.85,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,21,236,Blake SKJELLERUP,NZL,2,1,42.888,Q,1,6.88,2,9.16,2,8.94,2,8.91,2,9.0,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,21,148,Paul HERRMANN,GER,3,3,43.134,q,3,7.31,3,9.02,3,8.79,3,8.86,3,9.16,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,PrePreliminaries,21,223,Necmettin Berk YETISKEN,TUR,4,4,43.395,NA,4,7.46,4,9.07,4,8.81,4,8.92,4,9.14,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,1,128,WU Dajing,CHN,1,1,42.105,Q,1,6.78,1,8.98,1,8.68,1,8.72,1,8.95,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,1,194,BREEUWSMA Daan,NED,2,2,42.189,Q,2,7.0,2,9.02,2,8.58,2,8.67,2,8.92,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,1,192,Jekabs SAULITIS,LAT,3,3,43.441,q,3,7.13,3,9.17,3,8.91,3,9.03,3,9.21,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,1,132,Petr HARGAS,CZE,4,4,44.0,NA,4,7.34,4,9.24,4,8.97,4,9.06,4,9.39,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,2,127,LIANG Wenhao,CHN,1,1,41.912,Q,1,7.04,1,8.97,1,8.45,1,8.64,1,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,2,167,Yuri CONFORTOLA,ITA,2,2,42.218,Q,2,7.15,2,9.02,2,8.45,2,8.72,2,8.88,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,2,107,JUNG Hyun Woo (Andy),AUS,3,4,43.121,q,3,7.3,3,9.05,3,8.75,3,8.85,3,9.18,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,2,151,SCHUBERT Christoph,GER,4,3,43.596,NA,4,7.41,4,9.26,4,8.81,4,8.94,4,9.18,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,3,231,J R CELSKI,USA,1,1,41.981,Q,1,7.01,1,8.97,1,8.48,1,8.69,1,8.84,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,3,169,Anthony LOBELLO,ITA,2,3,43.411,Q,2,7.28,2,9.31,2,8.63,2,8.91,2,9.29,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,3,193,ZVEJNIEKS Roberts,LAT,3,4,44.476,q,3,7.39,3,9.33,3,8.93,3,9.28,3,9.55,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,3,155,Bence BERES,HUN,NA,2,NA,YC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,4,157,KNOCH Viktor,HUN,1,2,42.326,Q,1,6.79,1,9.01,1,8.65,1,8.78,1,9.1,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,4,152,Robert SEIFERT,GER,2,1,42.62,Q,3,7.03,2,9.09,2,8.6,2,8.85,2,9.05,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,4,104,BODA Pierre,AUS,3,4,42.918,q,4,7.23,4,9.15,4,8.71,4,8.78,3,9.05,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,4,224,Valentyn DANILOVSKYI,UKR,4,3,43.206,NA,2,7.02,3,9.26,3,8.73,3,8.86,4,9.34,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,5,208,AN Victor,RUS,1,1,41.546,Q,1,6.82,1,8.78,1,8.45,1,8.62,1,8.88,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,5,198,Freek van der WART,NED,2,2,41.802,Q,2,6.97,2,8.78,2,8.46,2,8.65,2,8.95,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,5,183,ZHUMAGAZIYEV Nurbergen,KAZ,3,3,43.341,q,3,7.39,3,9.06,3,8.7,3,8.93,3,9.27,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,5,207,Emil IMRE,ROU,4,4,45.074,NA,4,7.51,4,9.37,4,9.1,4,9.35,4,9.75,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,6,122,HAMELIN Charles,CAN,1,1,41.57,Q,1,6.75,1,8.87,1,8.49,1,8.62,1,8.84,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,6,180,BEKZHANOV Aydar,KAZ,2,2,42.502,Q,2,6.88,2,8.92,2,8.53,2,8.95,2,9.23,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,6,139,JEANNE Vincent,FRA,3,5,43.263,q,5,7.46,4,9.13,4,8.73,4,8.9,3,9.05,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,6,117,Kiril PANDOV,BUL,4,3,43.264,NA,3,7.06,3,9.02,3,8.85,3,9.05,4,9.29,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,6,206,Istvan GAL ORAVECZ,ROU,5,4,45.745,NA,4,7.42,5,9.47,5,9.34,5,9.56,5,9.96,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,7,189,PARK Se Yeong,KOR,1,1,42.611,Q,1,6.97,1,9.11,1,8.67,1,8.79,1,9.08,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,7,230,Eduardo ALVAREZ,USA,2,2,42.751,Q,2,7.1,2,9.11,2,8.59,2,8.84,2,9.12,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,7,133,Vojtech LOUDIN,CZE,3,3,43.361,q,3,7.3,3,9.08,3,8.84,3,8.95,3,9.2,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,7,108,Armstrong LAZENBY,AUS,4,4,43.475,NA,4,7.42,4,9.09,4,8.83,4,8.98,4,9.16,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,8,120,COURNOYER Charle,CAN,1,1,41.792,Q,1,6.84,1,8.93,1,8.55,1,8.66,1,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,8,146,Paul STANLEY,GBR,2,2,42.316,Q,2,6.98,2,8.9,2,8.53,2,8.8,2,9.11,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,8,109,Mathias VOSTE,BEL,3,3,43.146,q,3,7.07,3,9.11,3,8.72,3,8.95,3,9.3,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,8,135,Jonathan LOPEZ,ESP,4,4,46.921,NA,4,7.53,4,9.92,4,9.49,4,9.8,4,10.19,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,9,140,LEPAPE Sebastien,FRA,1,1,41.883,Q,1,6.78,1,8.97,1,8.61,1,8.7,1,8.83,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,9,174,Satoshi SAKASHITA,JPN,2,2,42.043,Q,2,6.97,2,8.96,2,8.6,2,8.65,2,8.87,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,9,165,BYKANOV Vladislav,ISR,3,3,42.819,q,3,7.21,3,9.05,3,8.67,3,8.82,3,9.07,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,9,204,Dawid RZEMIENIECKI,POL,4,4,43.739,NA,4,7.34,4,9.18,4,8.9,4,9.02,4,9.3,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,10,210,Vladimir GRIGOREV,RUS,1,1,41.925,Q,1,6.78,1,8.85,1,8.57,1,8.8,1,8.93,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,10,236,Blake SKJELLERUP,NZL,2,2,42.99,Q,2,6.98,2,9.1,2,8.88,2,8.95,2,9.08,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,10,173,OGURO Yoshiaki,JPN,3,3,43.078,q,3,7.12,3,9.09,3,8.83,3,9.01,3,9.03,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,10,111,BRANKOVIC Edin,BIH,4,4,46.13,NA,4,7.77,4,9.59,4,9.29,4,9.49,4,9.99,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,11,147,WHELBOURNE Jack,GBR,1,2,42.796,Q,2,7.04,2,9.07,2,8.67,1,8.85,1,9.17,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,11,209,ELISTRATOV Semen,RUS,2,1,42.817,Q,1,6.84,1,9.18,1,8.72,2,8.95,2,9.13,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,11,154,LUI Pan To Barton,HKG,3,3,43.082,q,3,7.2,3,9.07,3,8.69,3,8.85,3,9.28,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,11,222,Selim TANRIKULU,TUR,4,4,44.838,NA,4,7.47,4,9.22,4,9.08,4,9.32,4,9.75,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,12,158,LIU Shaolin Sandor,HUN,1,1,42.959,Q,2,7.14,2,9.14,2,8.8,2,8.95,1,8.93,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,12,186,LEE Han-Bin,KOR,2,3,43.142,Q,1,7.0,1,9.19,1,8.82,1,8.94,2,9.2,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,12,148,Paul HERRMANN,GER,3,2,43.238,q,3,7.29,3,9.28,3,8.75,3,8.83,3,9.09,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,12,113,Yauheni RYZHOU,BLR,4,4,43.357,NA,4,7.35,4,9.28,4,8.85,4,8.78,4,9.1,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,13,124,Olivier JEAN,CAN,1,1,42.088,Q,1,6.81,1,9.07,1,8.65,1,8.65,1,8.91,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,13,144,Jon ELEY,GBR,2,2,42.252,Q,2,6.92,2,9.09,2,8.66,2,8.69,2,8.9,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,13,201,Adam FILIPOWICZ,POL,3,3,42.91,q,3,7.05,3,9.11,3,8.7,3,8.8,3,9.25,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,13,112,Aliaksandr ANTANENKA,BLR,4,4,45.83,NA,4,7.53,4,9.56,4,9.33,4,9.55,4,9.86,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,14,232,Chris CREVELING,USA,1,2,42.659,Q,2,7.08,1,9.22,1,8.76,1,8.72,1,8.88,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,14,187,LEE Ho-Suk,KOR,2,3,42.837,Q,4,7.41,3,9.11,3,8.79,2,8.64,2,8.89,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,14,176,Yuzo TAKAMIDO,JPN,3,1,42.972,q,1,7.01,2,9.33,2,8.9,3,8.84,3,8.9,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,14,228,Serhiy LIFYRENKO,UKR,4,4,72.304,NA,3,7.24,4,17.96,4,22.4,4,12.56,4,12.15,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,15,196,Niels KERSTHOLT,NED,1,1,43.05,Q,1,6.87,2,9.52,2,8.86,2,8.9,1,8.9,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,15,129,YU Jiyang,CHN,2,2,43.06,Q,2,6.97,1,9.35,1,8.85,1,8.87,2,9.02,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,15,191,Roberto PUKITIS,LAT,3,4,80.743,ADV,4,7.26,3,9.18,4,27.91,4,24.32,3,12.08,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Preliminaries,15,227,Oleksiy KOSHELENKO,UKR,NA,3,NA,PEN,3,7.13,4,9.35,3,9.19,3,9.17,NA,NA,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,1,120,COURNOYER Charle,CAN,1,1,41.704,Q,1,6.75,1,8.91,1,8.57,1,8.67,1,8.81,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,1,209,ELISTRATOV Semen,RUS,2,3,41.758,Q,2,6.86,2,8.95,2,8.53,2,8.65,2,8.77,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,1,167,Yuri CONFORTOLA,ITA,3,2,41.861,q,3,7.03,3,8.93,3,8.48,3,8.64,3,8.79,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,1,148,Paul HERRMANN,GER,4,4,43.337,NA,4,7.23,4,9.05,4,8.74,4,8.95,4,9.37,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,2,128,WU Dajing,CHN,1,1,42.059,Q,1,6.86,1,8.89,1,8.6,1,8.77,1,8.94,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,2,157,KNOCH Viktor,HUN,2,2,42.189,Q,2,6.97,2,8.89,2,8.61,2,8.78,2,8.94,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,2,169,Anthony LOBELLO,ITA,3,3,42.662,NA,3,7.25,3,9.05,3,8.66,3,8.75,3,8.96,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,2,191,Roberto PUKITIS,LAT,4,4,42.686,NA,4,7.39,4,9.05,4,8.69,4,8.81,4,8.75,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,3,194,BREEUWSMA Daan,NED,1,2,41.893,Q,2,6.98,2,8.95,2,8.52,1,8.58,1,8.87,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,3,180,BEKZHANOV Aydar,KAZ,2,3,41.968,Q,3,7.11,3,8.9,3,8.55,3,8.67,2,8.74,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,3,127,LIANG Wenhao,CHN,3,1,42.022,q,1,6.85,1,8.96,1,8.57,2,8.76,3,8.89,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,3,176,Yuzo TAKAMIDO,JPN,4,4,42.597,NA,4,7.3,4,9.01,4,8.54,4,8.78,4,8.97,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,4,208,AN Victor,RUS,1,1,41.734,Q,2,7.02,1,8.85,1,8.32,1,8.61,1,8.94,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,4,129,YU Jiyang,CHN,2,2,42.177,Q,1,6.93,2,9.04,2,8.5,2,8.69,2,9.02,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,4,186,LEE Han-Bin,KOR,3,3,42.187,q,3,7.16,3,8.94,3,8.47,3,8.66,3,8.96,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,4,133,Vojtech LOUDIN,CZE,4,4,43.377,NA,4,7.32,4,9.09,4,8.83,4,8.95,4,9.19,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,4,193,ZVEJNIEKS Roberts,LAT,5,5,43.865,NA,5,7.44,5,9.18,5,8.86,5,9.06,5,9.33,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,5,124,Olivier JEAN,CAN,1,1,41.721,Q,1,6.8,1,8.96,1,8.52,1,8.63,1,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,5,107,JUNG Hyun Woo (Andy),AUS,2,4,43.262,Q,4,7.3,4,9.04,4,8.75,3,8.97,2,9.21,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,5,230,Eduardo ALVAREZ,USA,3,3,63.348,ADV,2,6.9,2,9.01,3,8.62,4,22.94,3,15.88,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,5,144,Jon ELEY,GBR,NA,2,NA,PEN,3,7.03,3,8.98,2,8.46,2,9.04,NA,NA,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,6,140,LEPAPE Sebastien,FRA,1,1,42.048,Q,1,6.78,1,9.02,1,8.53,1,8.7,1,9.02,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,6,196,Niels KERSTHOLT,NED,2,3,42.178,Q,2,6.97,2,8.94,2,8.52,2,8.68,2,9.07,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,6,165,BYKANOV Vladislav,ISR,3,2,42.226,q,3,7.14,3,8.92,3,8.53,3,8.73,3,8.91,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,6,192,Jekabs SAULITIS,LAT,4,4,43.196,NA,4,7.26,4,9.1,4,8.63,4,8.75,4,9.46,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,7,232,Chris CREVELING,USA,1,1,42.101,Q,1,6.87,1,9.12,1,8.61,1,8.7,1,8.81,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,7,147,WHELBOURNE Jack,GBR,2,2,42.302,Q,2,7.09,2,9.0,2,8.64,2,8.68,2,8.9,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,7,173,OGURO Yoshiaki,JPN,3,3,42.381,NA,3,7.23,3,8.95,3,8.65,3,8.7,3,8.86,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,7,109,Mathias VOSTE,BEL,4,4,43.516,NA,4,7.32,4,9.07,4,8.72,4,8.99,4,9.42,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,8,189,PARK Se Yeong,KOR,1,1,42.295,Q,1,6.89,1,9.19,1,8.68,1,8.7,1,8.84,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,8,158,LIU Shaolin Sandor,HUN,2,3,42.382,Q,2,7.09,2,9.06,2,8.68,2,8.71,2,8.85,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,8,183,ZHUMAGAZIYEV Nurbergen,KAZ,3,4,42.576,NA,3,7.19,3,9.11,3,8.63,3,8.76,3,8.89,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,8,201,Adam FILIPOWICZ,POL,4,2,74.653,NA,4,19.55,4,16.08,4,11.57,4,10.06,4,17.4,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,9,231,J R CELSKI,USA,1,1,42.017,Q,1,6.95,1,8.99,1,8.5,1,8.7,1,8.88,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,9,174,Satoshi SAKASHITA,JPN,2,2,42.293,Q,2,7.05,2,9.02,2,8.47,2,8.76,2,9.0,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,9,236,Blake SKJELLERUP,NZL,3,4,43.406,NA,3,7.1,3,9.45,3,8.87,3,8.88,3,9.11,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,9,104,BODA Pierre,AUS,4,3,43.451,NA,4,7.15,4,9.6,4,8.8,4,8.9,4,9.01,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,10,210,Vladimir GRIGOREV,RUS,1,1,41.59,Q,1,6.75,1,8.77,1,8.53,1,8.7,1,8.84,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,10,152,Robert SEIFERT,GER,2,3,41.937,Q,3,7.08,3,8.87,3,8.5,2,8.63,2,8.86,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,10,146,Paul STANLEY,GBR,3,2,42.035,q,2,6.9,2,8.89,2,8.54,3,8.75,3,8.96,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,10,154,LUI Pan To Barton,HKG,4,4,43.194,NA,4,7.33,4,9.18,4,8.72,4,8.89,4,9.08,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,11,122,HAMELIN Charles,CAN,1,1,41.4,Q,1,6.78,1,8.91,1,8.36,1,8.6,1,8.75,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,11,198,Freek van der WART,NED,2,2,41.724,Q,2,6.93,2,8.88,2,8.41,2,8.58,2,8.93,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,11,187,LEE Ho-Suk,KOR,3,3,42.185,q,3,7.05,3,8.87,3,8.38,3,8.56,3,9.33,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Heats,11,139,JEANNE Vincent,FRA,4,4,43.06,NA,4,7.31,4,9.04,4,8.7,4,8.84,4,9.17,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,1,196,Niels KERSTHOLT,NED,1,2,41.755,Q,3,6.99,3,8.95,1,8.33,1,8.59,1,8.9,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,1,231,J R CELSKI,USA,2,4,42.376,Q,4,7.09,4,9.46,2,8.53,2,8.5,2,8.8,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,1,124,Olivier JEAN,CAN,3,3,62.555,ADV,2,6.8,2,8.87,4,13.77,4,18.1,3,15.02,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,1,152,Robert SEIFERT,GER,NA,1,NA,PEN,1,6.7,1,8.89,3,13.35,3,12.43,NA,NA,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,2,208,AN Victor,RUS,1,1,41.037,Q,1,6.77,1,8.76,1,8.35,1,8.44,1,8.72,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,2,120,COURNOYER Charle,CAN,2,2,41.23,Q,2,6.9,2,8.79,2,8.38,2,8.5,2,8.66,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,2,129,YU Jiyang,CHN,3,5,41.699,NA,3,7.18,3,8.88,3,8.44,3,8.52,3,8.68,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,2,140,LEPAPE Sebastien,FRA,4,4,41.812,NA,4,7.43,4,8.94,4,8.43,4,8.47,4,8.55,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,2,174,Satoshi SAKASHITA,JPN,5,3,50.635,NA,5,7.82,5,10.7,5,10.3,5,10.22,5,11.6,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,3,210,Vladimir GRIGOREV,RUS,1,1,41.182,Q,1,6.79,1,8.71,1,8.37,1,8.55,1,8.77,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,3,198,Freek van der WART,NED,2,3,41.496,Q,3,7.11,3,8.84,3,8.36,3,8.48,2,8.71,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,3,147,WHELBOURNE Jack,GBR,3,2,41.521,NA,2,7.02,2,8.84,2,8.34,2,8.51,3,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,3,189,PARK Se Yeong,KOR,4,4,41.697,NA,4,7.21,4,8.89,4,8.32,4,8.47,4,8.81,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,4,122,HAMELIN Charles,CAN,1,1,40.839,Q,1,6.73,1,8.79,1,8.33,1,8.39,1,8.6,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,4,127,LIANG Wenhao,CHN,2,2,41.01,Q,2,6.87,2,8.75,2,8.31,2,8.46,2,8.62,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,4,209,ELISTRATOV Semen,RUS,3,3,41.133,NA,3,6.98,3,8.83,3,8.34,3,8.47,3,8.52,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Quarterfinals,4,232,Chris CREVELING,USA,4,4,41.252,NA,4,7.12,4,8.82,4,8.29,4,8.5,4,8.53,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,1,208,AN Victor,RUS,1,1,41.212,QA,1,6.75,1,8.71,1,8.42,1,8.51,1,8.83,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,1,210,Vladimir GRIGOREV,RUS,2,2,41.258,QA,2,6.89,2,8.69,2,8.37,2,8.49,2,8.82,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,1,198,Freek van der WART,NED,3,4,41.305,QB,4,7.24,4,8.68,3,8.29,3,8.41,3,8.69,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,1,120,COURNOYER Charle,CAN,4,3,41.591,QB,3,7.08,3,8.75,4,8.47,4,8.49,4,8.81,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,2,122,HAMELIN Charles,CAN,1,1,41.111,QA,1,6.84,1,8.8,1,8.35,1,8.48,1,8.65,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,2,124,Olivier JEAN,CAN,2,5,41.476,QA,3,7.14,3,8.92,3,8.25,2,8.47,2,8.7,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,2,127,LIANG Wenhao,CHN,3,2,41.742,QB,4,7.15,4,9.0,4,8.3,3,8.41,3,8.89,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,2,196,Niels KERSTHOLT,NED,4,3,41.816,QB,2,7.05,2,8.91,2,8.33,4,8.59,4,8.94,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,Semifinals,2,231,J R CELSKI,USA,5,4,41.921,NA,5,7.27,5,9.01,5,8.39,5,8.52,5,8.74,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,FinalB,1,127,LIANG Wenhao,CHN,1,3,41.848,NA,1,6.93,1,9.09,1,8.47,1,8.57,1,8.79,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,FinalB,1,198,Freek van der WART,NED,2,1,41.88,NA,2,7.05,2,9.1,2,8.46,2,8.56,2,8.71,2013.85
2013/2014,World Cup,Torino,ITA,2013,11,7,FinalB,1,120,COURNOYER Charle,CAN,3,2,42.025,NA,3,7.18,3,9.06,3,8.45,3,8.55,3,8.79,2013.85
