name,state,breast,colorectal,prostate,lung,melanoma,poverty,income,region,lat,lon
inyo,ca,141,32.7,137.8,45.7,16,15.7,45784,pacific,36.511127,-117.41079
kern,ca,107.6,36.5,108.9,55.7,15.5,22.7,46688,pacific,35.342849,-118.7299
kings,ca,103.7,37.6,104,48.8,15.6,21.8,45794,pacific,36.075361,-119.815502
lake,ca,109.5,44.8,91.1,73.7,27.7,23.3,36973,pacific,39.099645,-122.753184
lassen,ca,91.6,29.6,94.4,60.9,15.1,19.1,50487,pacific,40.67359,-120.594333
los angeles,ca,116.1,39.4,113.8,39.9,13.2,19,54443,pacific,34.191753,-118.265135
madera,ca,104.1,35.5,110.8,51.8,19,23.4,41223,pacific,37.218031,-119.762648
marin,ca,137.5,35.8,136.7,41.6,46.1,8.7,94347,pacific,38.055183,-122.748859
mariposa,ca,111.6,36,107.2,54.6,28.5,16.4,45251,pacific,37.581522,-119.905517
mendocino,ca,116.7,38.6,110.6,52.2,27.2,20.9,42001,pacific,39.433624,-123.431554
merced,ca,108.5,37.9,104.3,56.9,14.6,24.8,41003,pacific,37.191857,-120.717669
modoc,ca,118.7,28.1,85.1,43.7,22,20,37055,pacific,41.589848,-120.724967
monterey,ca,115.3,29.4,141,42.6,21.7,17.5,55411,pacific,36.239774,-121.308902
napa,ca,138.5,40.2,134.3,53.3,31.4,9.7,68619,pacific,38.506474,-122.330533
nevada,ca,130.8,31.8,116.7,47.3,30.1,12.8,55246,pacific,39.30137,-120.768752
orange,ca,123.4,35.8,114.3,44.1,25.7,13.5,73827,pacific,33.676913,-117.776146
placer,ca,140.7,36.5,129.9,49.6,35.7,8.3,73643,pacific,39.063427,-120.717652
plumas,ca,107.7,34.2,115.4,44.2,26.5,15.7,47645,pacific,40.004682,-120.838598
riverside,ca,115.3,39.4,120,47.2,22,17.4,53909,pacific,33.74368,-115.993846
sacramento,ca,132.5,41.9,122.7,56.9,20.6,18.9,52980,pacific,38.449315,-121.344243
san benito,ca,113.2,33.8,157.5,40.2,18.4,12.7,66780,pacific,36.605706,-121.074996
san bernardino,ca,114,43,130.2,49.5,16.8,19.2,52112,pacific,34.841438,-116.178462
san diego,ca,128.3,37.2,115.8,49,26.9,15.3,61365,pacific,33.028203,-116.770207
san francisco,ca,121.6,40.4,105.1,49,19.2,13.8,76933,pacific,37.759715,-122.693976
san joaquin,ca,112.3,39.1,130.6,56.8,14.8,19.8,51219,pacific,37.934777,-121.271447
san luis obispo,ca,138.2,35,114.2,46.9,44.2,15,57743,pacific,35.387418,-120.452197
san mateo,ca,135.9,36.6,129.7,45.3,24.1,8,91061,pacific,37.43621,-122.355663
santa barbara,ca,129.5,34.5,111,42.1,33.4,16.2,60803,pacific,35.014583,-119.884478
santa clara,ca,119.6,36.6,131.9,41.1,20.7,10.5,91843,pacific,37.232484,-121.696278
santa cruz,ca,136,31.3,141.2,37.6,34.2,14.9,65282,pacific,37.021606,-122.009787
shasta,ca,134.3,37.1,122.8,62.5,39,19.7,41236,pacific,40.763767,-122.040522
siskiyou,ca,107.9,33.9,109.6,60.5,21,20.4,37108,pacific,41.59265,-122.540374
solano,ca,131.1,40.5,141.4,58.1,21.5,12.9,63398,pacific,38.266919,-121.940007
sonoma,ca,132.3,40.3,112.9,49.5,38.2,12.4,61020,pacific,38.525293,-122.922545
stanislaus,ca,117.9,42.8,104.8,57.4,20.8,21.8,47808,pacific,37.559145,-120.997685
sutter,ca,117.8,31.7,99.9,56.3,23,17.2,47903,pacific,39.034523,-121.694842
tehama,ca,117.2,40.6,119.4,65.2,31.7,17.9,43459,pacific,40.125736,-122.233885
trinity,ca,118.4,29.7,92.1,66.6,30.3,22.1,35708,pacific,40.650694,-123.112628
tulare,ca,106,36.8,104.6,47.9,15.4,29.6,39657,pacific,36.220157,-118.800473
tuolumne,ca,132.1,39.6,104.6,58,39.3,14.6,50774,pacific,38.027601,-119.954753
ventura,ca,131.8,36.6,116.4,41.5,27.3,12,76513,pacific,34.325358,-119.147678
yolo,ca,132.9,34,109.8,42.3,25.3,17.8,55011,pacific,38.686646,-121.90162
yuba,ca,112.6,39.5,112.3,68.1,23.9,20.6,41824,pacific,39.269008,-121.351262
adams,co,115.9,40.1,112.5,52.6,16.4,13.2,54876,mountain,39.87364,-104.337801
arapahoe,co,133.3,34.2,118.7,47.5,19.8,12.3,61092,mountain,39.650038,-104.335247
archuleta,co,131.6,30.4,111.7,31.7,29.4,15.1,44417,mountain,37.193596,-107.048329
boulder,co,135.6,30.1,121.3,35.5,23.8,13.5,71405,mountain,40.093574,-105.358571
broomfield,co,116.4,27.8,121.8,48.4,26.6,6.4,79117,mountain,39.955369,-105.047567
chaffee,co,123.6,24.7,106.8,36.9,41.4,13,48012,mountain,38.746903,-106.194067
delta,co,97.1,28.1,105,46.3,17.8,15.1,41730,mountain,38.861374,-107.862877
denver,co,131.7,37,129.2,48.5,16.8,18.7,51156,mountain,39.775594,-104.867427
douglas,co,133.2,33.1,122.4,37.1,29.8,3.6,105192,mountain,39.329724,-104.929561
eagle,co,115.6,26.6,118.4,28.3,24.8,9.5,78517,mountain,39.627826,-106.695299
el paso,co,122.6,35.6,141.1,50.3,28.4,11.4,57072,mountain,38.832089,-104.525585
elbert,co,117.7,34.2,110.4,47.5,15.6,6.7,80972,mountain,39.28656,-104.135891
fremont,co,121,45.1,128,56.4,27.3,19.7,41412,mountain,38.472972,-105.439657
garfield,co,122.9,27,99.3,43.2,33.6,12.4,57364,mountain,39.599307,-107.903956
grand,co,92.5,23,73,47.5,20.3,11,57312,mountain,40.102615,-106.118358
jefferson,co,128.4,33.3,136.7,43.7,25.3,9.1,68161,mountain,39.585248,-105.251574
la plata,co,122.2,29.2,146.1,34.4,28.6,12.4,58675,mountain,37.286558,-107.843336
larimer,co,129.3,30.6,108.5,39.7,17.2,13.8,59337,mountain,40.666417,-105.461144
logan,co,112.9,40.5,94.6,36.4,26.1,16.9,43561,mountain,40.724669,-103.110096
mesa,co,108.8,33.5,112.2,56.1,19.5,15.4,48108,mountain,39.01829,-108.46644
montezuma,co,121.4,30.9,130,40.2,19.3,19.1,43655,mountain,37.338425,-108.596662
montrose,co,103.7,29.7,91.4,49.6,22.1,15.1,43946,mountain,38.402156,-108.269451
morgan,co,109.8,38.8,98.9,49.5,17,13.5,46332,mountain,40.262744,-103.809822
otero,co,101.4,49.7,107.6,40.5,24.6,22.5,36811,mountain,37.902702,-103.716446
park,co,105.2,39.1,122.3,35.8,30.4,10.3,57510,mountain,39.119303,-105.717175
pueblo,co,122.9,40.4,110.9,49.8,16.4,20.1,41352,mountain,38.17342,-104.512846
rio grande,co,104,49.2,124.3,29.2,23.1,17.9,39834,mountain,37.582523,-106.38321
routt,co,123.5,31.4,128.7,31.5,24.5,8.9,63763,mountain,40.485068,-106.991193
summit,co,81.2,16.7,79.7,14.8,21.1,9.3,63236,mountain,39.634171,-106.116379
teller,co,150.8,34.5,120.9,41.1,33.9,8.4,62725,mountain,38.882172,-105.161826
weld,co,115.3,35.3,97.1,45.7,18.2,13.2,58404,mountain,40.554828,-104.392533
fairfield,ct,145.1,38.1,141.3,54.9,21.6,9.6,81816,new_england,41.22496,-73.371205
hartford,ct,133.4,41.4,135.7,62,21.5,12.1,63491,new_england,41.806422,-72.732844
litchfield,ct,125.7,40.2,140.4,62.5,25.3,7.2,70519,new_england,41.792495,-73.245324
middlesex,ct,148.2,38.3,125.9,65.7,27.1,7.3,75335,new_england,41.435381,-72.523119
new haven,ct,136.4,42,126.9,70.2,18.2,12.8,58672,new_england,41.348823,-72.89986
new london,ct,137.6,38.8,109.3,68.7,24,9.4,62638,new_england,41.466779,-72.106497
tolland,ct,137.7,39.2,117.9,62.7,25.4,6.4,73660,new_england,41.855009,-72.336489
windham,ct,127.4,42.2,84.6,65,18.8,13,55948,new_england,41.830029,-71.987488
district of columbia,dc,143,44,169.1,59,8.3,18.8,66326,south_atlantic,38.904774,-77.016291
kent,de,129,40.7,169.4,79.2,25,13.5,53811,south_atlantic,39.095954,-75.504614
new castle,de,132.4,37.5,152.3,67.3,28.9,11.9,63033,south_atlantic,39.578327,-75.638982
sussex,de,125.4,38.3,137.9,74.2,35.4,14.8,50207,south_atlantic,38.683297,-75.339542
alachua,fl,135,39.8,107.9,67.8,24.8,25.7,39614,south_atlantic,29.674755,-82.357701
baker,fl,106.7,36.5,127.9,99.5,13.8,18.8,46505,south_atlantic,30.331071,-82.284587
bay,fl,127.9,37.1,157.6,88.4,21.4,18,45249,south_atlantic,30.237647,-85.632623
bradford,fl,103.1,37.7,103.6,82.1,23.2,21.8,40668,south_atlantic,29.94996,-82.168778
brevard,fl,115.8,38.3,102.1,74.2,28.2,15,46677,south_atlantic,28.300314,-80.701205
broward,fl,121.3,40,117.7,53.5,18.2,15.2,50343,south_atlantic,26.151856,-80.455886
charlotte,fl,103.3,33.9,93.5,62.3,25.4,14.4,43611,south_atlantic,26.899846,-81.950308
citrus,fl,112.8,39,111,79.7,24.4,17.3,39285,south_atlantic,28.84757,-82.520107
clay,fl,120.7,39.7,117.1,79.2,22.4,9.9,57991,south_atlantic,29.983068,-81.857884
collier,fl,90.5,25.7,86.8,43.3,22,13.4,55584,south_atlantic,26.099239,-81.380973
columbia,fl,108.9,39.6,111.9,88.2,21.9,18.8,41722,south_atlantic,30.22424,-82.621539
desoto,fl,101.4,33.1,99.8,57.7,25.4,33.9,33198,south_atlantic,27.18632,-81.809301
