year,team,team_name,league
1882,DTN,Detroit Wolverines,NL
1882,LS2,Louisville Eclipse,AA
1882,PH4,Philadelphia Athletics,AA
1882,PRO,Providence Grays,NL
1882,PT1,Pittsburg Alleghenys,AA
1882,SL4,St. Louis Brown Stockings,AA
1882,TRN,Troy Trojans,NL
1882,WOR,Worcester Ruby Legs,NL
1883,BFN,Buffalo Bisons,NL
1883,BL2,Baltimore Orioles,AA
1883,BSN,Boston Beaneaters,NL
1883,CHN,Chicago White Stockings,NL
1883,CL2,Cleveland Blues,NL
1883,CL5,Columbus Buckeyes,AA
1883,CN2,Cincinnati Red Stockings,AA
1883,DTN,Detroit Wolverines,NL
1883,LS2,Louisville Eclipse,AA
1883,NY1,New York Gothams,NL
1883,NY4,New York Metropolitans,AA
1883,PH4,Philadelphia Athletics,AA
1883,PHI,Philadelphia Quakers,NL
1883,PRO,Providence Grays,NL
1883,PT1,Pittsburg Alleghenys,AA
1883,SL4,St. Louis Browns,AA
1884,ALT,Altoona Mountain City,UA
1884,BFN,Buffalo Bisons,NL
1884,BL2,Baltimore Orioles,AA
1884,BLU,Baltimore Monumentals,UA
1884,BR3,Brooklyn Atlantics,AA
1884,BSN,Boston Beaneaters,NL
1884,BSU,Boston Reds,UA
1884,CHN,Chicago White Stockings,NL
1884,CHU,Chicago/Pittsburgh (Union League),UA
1884,CL2,Cleveland Blues,NL
1884,CL5,Columbus Buckeyes,AA
1884,CN2,Cincinnati Red Stockings,AA
1884,CNU,Cincinnati Outlaw Reds,UA
1884,DTN,Detroit Wolverines,NL
1884,IN2,Indianapolis Hoosiers,AA
1884,KCU,Kansas City Cowboys,UA
1884,LS2,Louisville Eclipse,AA
1884,MLU,Milwaukee Brewers,UA
1884,NY1,New York Gothams,NL
1884,NY4,New York Metropolitans,AA
1884,PH4,Philadelphia Athletics,AA
1884,PHI,Philadelphia Quakers,NL
1884,PHU,Philadelphia Keystones,UA
1884,PRO,Providence Grays,NL
1884,PT1,Pittsburg Alleghenys,AA
1884,RIC,Richmond Virginians,AA
1884,SL4,St. Louis Browns,AA
1884,SLU,St. Louis Maroons,UA
1884,SPU,St. Paul White Caps,UA
1884,TL1,Toledo Blue Stockings,AA
1884,WIL,Wilmington Quicksteps,UA
1884,WS7,Washington Nationals,AA
1884,WSU,Washington Nationals,UA
1885,BFN,Buffalo Bisons,NL
1885,BL2,Baltimore Orioles,AA
1885,BR3,Brooklyn Grays,AA
1885,BSN,Boston Beaneaters,NL
1885,CHN,Chicago White Stockings,NL
1885,CN2,Cincinnati Red Stockings,AA
1885,DTN,Detroit Wolverines,NL
1885,LS2,Louisville Colonels,AA
1885,NY1,New York Giants,NL
1885,NY4,New York Metropolitans,AA
1885,PH4,Philadelphia Athletics,AA
1885,PHI,Philadelphia Quakers,NL
1885,PRO,Providence Grays,NL
1885,PT1,Pittsburg Alleghenys,AA
1885,SL4,St. Louis Browns,AA
1885,SL5,St. Louis Maroons,NL
1886,BL2,Baltimore Orioles,AA
1886,BR3,Brooklyn Grays,AA
1886,BSN,Boston Beaneaters,NL
1886,CHN,Chicago White Stockings,NL
1886,CN2,Cincinnati Red Stockings,AA
1886,DTN,Detroit Wolverines,NL
1886,KCN,Kansas City Cowboys,NL
1886,LS2,Louisville Colonels,AA
1886,NY1,New York Giants,NL
1886,NY4,New York Metropolitans,AA
1886,PH4,Philadelphia Athletics,AA
1886,PHI,Philadelphia Quakers,NL
1886,PT1,Pittsburg Alleghenys,AA
1886,SL4,St. Louis Browns,AA
1886,SL5,St. Louis Maroons,NL
1886,WS8,Washington Nationals,NL
1887,BL2,Baltimore Orioles,AA
1887,BR3,Brooklyn Grays,AA
1887,BSN,Boston Beaneaters,NL
1887,CHN,Chicago White Stockings,NL
1887,CL3,Cleveland Blues,AA
1887,CN2,Cincinnati Red Stockings,AA
1887,DTN,Detroit Wolverines,NL
1887,IN3,Indianapolis Hoosiers,NL
1887,LS2,Louisville Colonels,AA
1887,NY1,New York Giants,NL
1887,NY4,New York Metropolitans,AA
1887,PH4,Philadelphia Athletics,AA
1887,PHI,Philadelphia Quakers,NL
1887,PIT,Pittsburg Alleghenys,NL
1887,SL4,St. Louis Browns,AA
1887,WS8,Washington Nationals,NL
1888,BL2,Baltimore Orioles,AA
1888,BR3,Brooklyn Bridegrooms,AA
1888,BSN,Boston Beaneaters,NL
1888,CHN,Chicago White Stockings,NL
1888,CL3,Cleveland Blues,AA
1888,CN2,Cincinnati Red Stockings,AA
1888,DTN,Detroit Wolverines,NL
1888,IN3,Indianapolis Hoosiers,NL
1888,KC2,Kansas City Cowboys,AA
1888,LS2,Louisville Colonels,AA
1888,NY1,New York Giants,NL
1888,PH4,Philadelphia Athletics,AA
1888,PHI,Philadelphia Quakers,NL
1888,PIT,Pittsburg Alleghenys,NL
1888,SL4,St. Louis Browns,AA
1888,WS8,Washington Nationals,NL
1889,BL2,Baltimore Orioles,AA
1889,BR3,Brooklyn Bridegrooms,AA
1889,BSN,Boston Beaneaters,NL
1889,CHN,Chicago White Stockings,NL
1889,CL4,Cleveland Spiders,NL
1889,CL6,Columbus Solons,AA
1889,CN2,Cincinnati Red Stockings,AA
1889,IN3,Indianapolis Hoosiers,NL
1889,KC2,Kansas City Cowboys,AA
1889,LS2,Louisville Colonels,AA
1889,NY1,New York Giants,NL
1889,PH4,Philadelphia Athletics,AA
1889,PHI,Philadelphia Quakers,NL
1889,PIT,Pittsburg Alleghenys,NL
1889,SL4,St. Louis Browns,AA
1889,WS8,Washington Nationals,NL
1890,BFP,Buffalo Bisons,PL
1890,BL3,Baltimore Orioles,AA
1890,BR4,Brooklyn Gladiators,AA
1890,BRO,Brooklyn Bridegrooms,NL
1890,BRP,Brooklyn Ward's Wonders,PL
1890,BSN,Boston Beaneaters,NL
1890,BSP,Boston Reds,PL
1890,CHN,Chicago Colts,NL
1890,CHP,Chicago Pirates,PL
1890,CIN,Cincinnati Reds,NL
1890,CL4,Cleveland Spiders,NL
1890,CL6,Columbus Solons,AA
1890,CLP,Cleveland Infants,PL
1890,LS2,Louisville Colonels,AA
1890,NY1,New York Giants,NL
1890,NYP,New York Giants,PL
1890,PH4,Philadelphia Athletics,AA
1890,PHI,Philadelphia Phillies,NL
1890,PHP,Philadelphia Athletics,PL
1890,PIT,Pittsburg Alleghenys,NL
1890,PTP,Pittsburgh Burghers,PL
1890,RC2,Rochester Broncos,AA
1890,SL4,St. Louis Browns,AA
1890,SR2,Syracuse Stars,AA
1890,TL2,Toledo Maumees,AA
1891,BL3,Baltimore Orioles,AA
1891,BRO,Brooklyn Grooms,NL
1891,BS2,Boston Reds,AA
1891,BSN,Boston Beaneaters,NL
1891,CHN,Chicago Colts,NL
1891,CIN,Cincinnati Reds,NL
1891,CL4,Cleveland Spiders,NL
1891,CL6,Columbus Solons,AA
1891,CN3,Cincinnati Kelly's Killers,AA
1891,LS2,Louisville Colonels,AA
1891,ML3,Milwaukee Brewers,AA
1891,NY1,New York Giants,NL
1891,PH4,Philadelphia Athletics,AA
1891,PHI,Philadelphia Phillies,NL
1891,PIT,Pittsburgh Pirates,NL
1891,SL4,St. Louis Browns,AA
1891,WS9,Washington Statesmen,AA
1892,BLN,Baltimore Orioles,NL
1892,BRO,Brooklyn Grooms,NL
1892,BSN,Boston Beaneaters,NL
1892,CHN,Chicago Colts,NL
1892,CIN,Cincinnati Reds,NL
1892,CL4,Cleveland Spiders,NL
1892,LS3,Louisville Colonels,NL
1892,NY1,New York Giants,NL
1892,PHI,Philadelphia Phillies,NL
1892,PIT,Pittsburgh Pirates,NL
1892,SLN,St. Louis Browns,NL
1892,WAS,Washington Senators,NL
1893,BLN,Baltimore Orioles,NL
1893,BRO,Brooklyn Grooms,NL
1893,BSN,Boston Beaneaters,NL
1893,CHN,Chicago Colts,NL
1893,CIN,Cincinnati Reds,NL
1893,CL4,Cleveland Spiders,NL
1893,LS3,Louisville Colonels,NL
1893,NY1,New York Giants,NL
1893,PHI,Philadelphia Phillies,NL
1893,PIT,Pittsburgh Pirates,NL
1893,SLN,St. Louis Browns,NL
1893,WAS,Washington Senators,NL
1894,BLN,Baltimore Orioles,NL
1894,BRO,Brooklyn Grooms,NL
1894,BSN,Boston Beaneaters,NL
1894,CHN,Chicago Colts,NL
1894,CIN,Cincinnati Reds,NL
1894,CL4,Cleveland Spiders,NL
1894,LS3,Louisville Colonels,NL
1894,NY1,New York Giants,NL
1894,PHI,Philadelphia Phillies,NL
1894,PIT,Pittsburgh Pirates,NL
1894,SLN,St. Louis Browns,NL
1894,WAS,Washington Senators,NL
1895,BLN,Baltimore Orioles,NL
1895,BRO,Brooklyn Grooms,NL
1895,BSN,Boston Beaneaters,NL
1895,CHN,Chicago Colts,NL
1895,CIN,Cincinnati Reds,NL
1895,CL4,Cleveland Spiders,NL
1895,LS3,Louisville Colonels,NL
1895,NY1,New York Giants,NL
1895,PHI,Philadelphia Phillies,NL
1895,PIT,Pittsburgh Pirates,NL
1895,SLN,St. Louis Browns,NL
1895,WAS,Washington Senators,NL
1896,BLN,Baltimore Orioles,NL
1896,BRO,Brooklyn Bridegrooms,NL
1896,BSN,Boston Beaneaters,NL
1896,CHN,Chicago Colts,NL
1896,CIN,Cincinnati Reds,NL
1896,CL4,Cleveland Spiders,NL
1896,LS3,Louisville Colonels,NL
1896,NY1,New York Giants,NL
1896,PHI,Philadelphia Phillies,NL
1896,PIT,Pittsburgh Pirates,NL
1896,SLN,St. Louis Browns,NL
1896,WAS,Washington Senators,NL
1897,BLN,Baltimore Orioles,NL
1897,BRO,Brooklyn Bridegrooms,NL
1897,BSN,Boston Beaneaters,NL
1897,CHN,Chicago Colts,NL
1897,CIN,Cincinnati Reds,NL
1897,CL4,Cleveland Spiders,NL
1897,LS3,Louisville Colonels,NL
1897,NY1,New York Giants,NL
1897,PHI,Philadelphia Phillies,NL
1897,PIT,Pittsburgh Pirates,NL
1897,SLN,St. Louis Browns,NL
1897,WAS,Washington Senators,NL
1898,BLN,Baltimore Orioles,NL
1898,BRO,Brooklyn Bridegrooms,NL
1898,BSN,Boston Beaneaters,NL
1898,CHN,Chicago Orphans,NL
1898,CIN,Cincinnati Reds,NL
1898,CL4,Cleveland Spiders,NL
1898,LS3,Louisville Colonels,NL
1898,NY1,New York Giants,NL
1898,PHI,Philadelphia Phillies,NL
1898,PIT,Pittsburgh Pirates,NL
1898,SLN,St. Louis Browns,NL
1898,WAS,Washington Senators,NL
1899,BLN,Baltimore Orioles,NL
1899,BRO,Brooklyn Superbas,NL
1899,BSN,Boston Beaneaters,NL
1899,CHN,Chicago Orphans,NL
1899,CIN,Cincinnati Reds,NL
1899,CL4,Cleveland Spiders,NL
1899,LS3,Louisville Colonels,NL
1899,NY1,New York Giants,NL
1899,PHI,Philadelphia Phillies,NL
1899,PIT,Pittsburgh Pirates,NL
1899,SLN,St. Louis Perfectos,NL
1899,WAS,Washington Senators,NL
1900,BRO,Brooklyn Superbas,NL
1900,BSN,Boston Beaneaters,NL
1900,CHN,Chicago Orphans,NL
1900,CIN,Cincinnati Reds,NL
1900,NY1,New York Giants,NL
1900,PHI,Philadelphia Phillies,NL
1900,PIT,Pittsburgh Pirates,NL
1900,SLN,St. Louis Cardinals,NL
1901,BLA,Baltimore Orioles,AL
1901,BOS,Boston Americans,AL
1901,BRO,Brooklyn Superbas,NL
1901,BSN,Boston Beaneaters,NL
1901,CHA,Chicago White Sox,AL
1901,CHN,Chicago Orphans,NL
1901,CIN,Cincinnati Reds,NL
1901,CLE,Cleveland Blues,AL
1901,DET,Detroit Tigers,AL
1901,MLA,Milwaukee Brewers,AL
1901,NY1,New York Giants,NL
1901,PHA,Philadelphia Athletics,AL
1901,PHI,Philadelphia Phillies,NL
1901,PIT,Pittsburgh Pirates,NL
1901,SLN,St. Louis Cardinals,NL
1901,WS1,Washington Senators,AL
1902,BLA,Baltimore Orioles,AL
1902,BOS,Boston Americans,AL
1902,BRO,Brooklyn Superbas,NL
1902,BSN,Boston Beaneaters,NL
1902,CHA,Chicago White Sox,AL
1902,CHN,Chicago Orphans,NL
1902,CIN,Cincinnati Reds,NL
1902,CLE,Cleveland Bronchos,AL
1902,DET,Detroit Tigers,AL
1902,NY1,New York Giants,NL
1902,PHA,Philadelphia Athletics,AL
1902,PHI,Philadelphia Phillies,NL
1902,PIT,Pittsburgh Pirates,NL
1902,SLA,St. Louis Browns,AL
1902,SLN,St. Louis Cardinals,NL
1902,WS1,Washington Senators,AL
1903,BOS,Boston Americans,AL
1903,BRO,Brooklyn Superbas,NL
1903,BSN,Boston Beaneaters,NL
1903,CHA,Chicago White Sox,AL
1903,CHN,Chicago Cubs,NL
1903,CIN,Cincinnati Reds,NL
1903,CLE,Cleveland Naps,AL
1903,DET,Detroit Tigers,AL
1903,NY1,New York Giants,NL
1903,NYA,New York Highlanders,AL
1903,PHA,Philadelphia Athletics,AL
1903,PHI,Philadelphia Phillies,NL
1903,PIT,Pittsburgh Pirates,NL
1903,SLA,St. Louis Browns,AL
1903,SLN,St. Louis Cardinals,NL
1903,WS1,Washington Senators,AL
1904,BOS,Boston Americans,AL
1904,BRO,Brooklyn Superbas,NL
1904,BSN,Boston Beaneaters,NL
1904,CHA,Chicago White Sox,AL
1904,CHN,Chicago Cubs,NL
1904,CIN,Cincinnati Reds,NL
1904,CLE,Cleveland Naps,AL
1904,DET,Detroit Tigers,AL
1904,NY1,New York Giants,NL
1904,NYA,New York Highlanders,AL
1904,PHA,Philadelphia Athletics,AL
1904,PHI,Philadelphia Phillies,NL
1904,PIT,Pittsburgh Pirates,NL
1904,SLA,St. Louis Browns,AL
1904,SLN,St. Louis Cardinals,NL
1904,WS1,Washington Senators,AL
1905,BOS,Boston Americans,AL
1905,BRO,Brooklyn Superbas,NL
1905,BSN,Boston Beaneaters,NL
1905,CHA,Chicago White Sox,AL
1905,CHN,Chicago Cubs,NL
1905,CIN,Cincinnati Reds,NL
1905,CLE,Cleveland Naps,AL
1905,DET,Detroit Tigers,AL
1905,NY1,New York Giants,NL
1905,NYA,New York Highlanders,AL
1905,PHA,Philadelphia Athletics,AL
1905,PHI,Philadelphia Phillies,NL
1905,PIT,Pittsburgh Pirates,NL
1905,SLA,St. Louis Browns,AL
1905,SLN,St. Louis Cardinals,NL
1905,WS1,Washington Senators,AL
1906,BOS,Boston Americans,AL
1906,BRO,Brooklyn Superbas,NL
1906,BSN,Boston Beaneaters,NL
1906,CHA,Chicago White Sox,AL
1906,CHN,Chicago Cubs,NL
1906,CIN,Cincinnati Reds,NL
1906,CLE,Cleveland Naps,AL
1906,DET,Detroit Tigers,AL
1906,NY1,New York Giants,NL
1906,NYA,New York Highlanders,AL
1906,PHA,Philadelphia Athletics,AL
1906,PHI,Philadelphia Phillies,NL
1906,PIT,Pittsburgh Pirates,NL
1906,SLA,St. Louis Browns,AL
1906,SLN,St. Louis Cardinals,NL
1906,WS1,Washington Senators,AL
1907,BOS,Boston Americans,AL
1907,BRO,Brooklyn Superbas,NL
1907,BSN,Boston Doves,NL
1907,CHA,Chicago White Sox,AL
1907,CHN,Chicago Cubs,NL
1907,CIN,Cincinnati Reds,NL
1907,CLE,Cleveland Naps,AL
1907,DET,Detroit Tigers,AL
1907,NY1,New York Giants,NL
1907,NYA,New York Highlanders,AL
1907,PHA,Philadelphia Athletics,AL
1907,PHI,Philadelphia Phillies,NL
1907,PIT,Pittsburgh Pirates,NL
1907,SLA,St. Louis Browns,AL
1907,SLN,St. Louis Cardinals,NL
1907,WS1,Washington Senators,AL
1908,BOS,Boston Red Sox,AL
1908,BRO,Brooklyn Superbas,NL
1908,BSN,Boston Doves,NL
1908,CHA,Chicago White Sox,AL
1908,CHN,Chicago Cubs,NL
1908,CIN,Cincinnati Reds,NL
1908,CLE,Cleveland Naps,AL
1908,DET,Detroit Tigers,AL
1908,NY1,New York Giants,NL
1908,NYA,New York Highlanders,AL
1908,PHA,Philadelphia Athletics,AL
1908,PHI,Philadelphia Phillies,NL
1908,PIT,Pittsburgh Pirates,NL
1908,SLA,St. Louis Browns,AL
1908,SLN,St. Louis Cardinals,NL
1908,WS1,Washington Senators,AL
1909,BOS,Boston Red Sox,AL
1909,BRO,Brooklyn Superbas,NL
1909,BSN,Boston Doves,NL
1909,CHA,Chicago White Sox,AL
1909,CHN,Chicago Cubs,NL
1909,CIN,Cincinnati Reds,NL
1909,CLE,Cleveland Naps,AL
1909,DET,Detroit Tigers,AL
1909,NY1,New York Giants,NL
1909,NYA,New York Highlanders,AL
1909,PHA,Philadelphia Athletics,AL
1909,PHI,Philadelphia Phillies,NL
1909,PIT,Pittsburgh Pirates,NL
1909,SLA,St. Louis Browns,AL
1909,SLN,St. Louis Cardinals,NL
1909,WS1,Washington Senators,AL
1910,BOS,Boston Red Sox,AL
1910,BRO,Brooklyn Superbas,NL
1910,BSN,Boston Doves,NL
1910,CHA,Chicago White Sox,AL
1910,CHN,Chicago Cubs,NL
1910,CIN,Cincinnati Reds,NL
1910,CLE,Cleveland Naps,AL
1910,DET,Detroit Tigers,AL
1910,NY1,New York Giants,NL
1910,NYA,New York Highlanders,AL
1910,PHA,Philadelphia Athletics,AL
1910,PHI,Philadelphia Phillies,NL
1910,PIT,Pittsburgh Pirates,NL
1910,SLA,St. Louis Browns,AL
1910,SLN,St. Louis Cardinals,NL
1910,WS1,Washington Senators,AL
1911,BOS,Boston Red Sox,AL
1911,BRO,Brooklyn Dodgers,NL
1911,BSN,Boston Rustlers,NL
1911,CHA,Chicago White Sox,AL
1911,CHN,Chicago Cubs,NL
1911,CIN,Cincinnati Reds,NL
1911,CLE,Cleveland Naps,AL
1911,DET,Detroit Tigers,AL
1911,NY1,New York Giants,NL
1911,NYA,New York Highlanders,AL
1911,PHA,Philadelphia Athletics,AL
1911,PHI,Philadelphia Phillies,NL
1911,PIT,Pittsburgh Pirates,NL
1911,SLA,St. Louis Browns,AL
1911,SLN,St. Louis Cardinals,NL
1911,WS1,Washington Senators,AL
1912,BOS,Boston Red Sox,AL
1912,BRO,Brooklyn Dodgers,NL
1912,BSN,Boston Braves,NL
1912,CHA,Chicago White Sox,AL
1912,CHN,Chicago Cubs,NL
1912,CIN,Cincinnati Reds,NL
1912,CLE,Cleveland Naps,AL
1912,DET,Detroit Tigers,AL
1912,NY1,New York Giants,NL
1912,NYA,New York Highlanders,AL
1912,PHA,Philadelphia Athletics,AL
1912,PHI,Philadelphia Phillies,NL
1912,PIT,Pittsburgh Pirates,NL
1912,SLA,St. Louis Browns,AL
1912,SLN,St. Louis Cardinals,NL
1912,WS1,Washington Senators,AL
1913,BOS,Boston Red Sox,AL
1913,BRO,Brooklyn Superbas,NL
1913,BSN,Boston Braves,NL
1913,CHA,Chicago White Sox,AL
1913,CHN,Chicago Cubs,NL
1913,CIN,Cincinnati Reds,NL
1913,CLE,Cleveland Naps,AL
1913,DET,Detroit Tigers,AL
1913,NY1,New York Giants,NL
1913,NYA,New York Yankees,AL
1913,PHA,Philadelphia Athletics,AL
1913,PHI,Philadelphia Phillies,NL
1913,PIT,Pittsburgh Pirates,NL
1913,SLA,St. Louis Browns,AL
1913,SLN,St. Louis Cardinals,NL
1913,WS1,Washington Senators,AL
1914,BLF,Baltimore Terrapins,FL
1914,BOS,Boston Red Sox,AL
1914,BRF,Brooklyn Tip-Tops,FL
1914,BRO,Brooklyn Robins,NL
1914,BSN,Boston Braves,NL
1914,BUF,Buffalo Buffeds,FL
1914,CHA,Chicago White Sox,AL
1914,CHF,Chicago Chi-Feds,FL
1914,CHN,Chicago Cubs,NL
1914,CIN,Cincinnati Reds,NL
1914,CLE,Cleveland Naps,AL
1914,DET,Detroit Tigers,AL
1914,IND,Indianapolis Hoosiers,FL
1914,KCF,Kansas City Packers,FL
1914,NY1,New York Giants,NL
1914,NYA,New York Yankees,AL
1914,PHA,Philadelphia Athletics,AL
1914,PHI,Philadelphia Phillies,NL
1914,PIT,Pittsburgh Pirates,NL
1914,PTF,Pittsburgh Rebels,FL
1914,SLA,St. Louis Browns,AL
1914,SLF,St. Louis Terriers,FL
1914,SLN,St. Louis Cardinals,NL
1914,WS1,Washington Senators,AL
1915,BLF,Baltimore Terrapins,FL
1915,BOS,Boston Red Sox,AL
1915,BRF,Brooklyn Tip-Tops,FL
1915,BRO,Brooklyn Robins,NL
1915,BSN,Boston Braves,NL
1915,BUF,Buffalo Blues,FL
1915,CHA,Chicago White Sox,AL
1915,CHF,Chicago Whales,FL
1915,CHN,Chicago Cubs,NL
1915,CIN,Cincinnati Reds,NL
1915,CLE,Cleveland Indians,AL
1915,DET,Detroit Tigers,AL
1915,KCF,Kansas City Packers,FL
1915,NEW,Newark Pepper,FL
1915,NY1,New York Giants,NL
1915,NYA,New York Yankees,AL
1915,PHA,Philadelphia Athletics,AL
1915,PHI,Philadelphia Phillies,NL
1915,PIT,Pittsburgh Pirates,NL
1915,PTF,Pittsburgh Rebels,FL
1915,SLA,St. Louis Browns,AL
1915,SLF,St. Louis Terriers,FL
1915,SLN,St. Louis Cardinals,NL
1915,WS1,Washington Senators,AL
1916,BOS,Boston Red Sox,AL
1916,BRO,Brooklyn Robins,NL
1916,BSN,Boston Braves,NL
1916,CHA,Chicago White Sox,AL
1916,CHN,Chicago Cubs,NL
1916,CIN,Cincinnati Reds,NL
1916,CLE,Cleveland Indians,AL
1916,DET,Detroit Tigers,AL
1916,NY1,New York Giants,NL
1916,NYA,New York Yankees,AL
1916,PHA,Philadelphia Athletics,AL
1916,PHI,Philadelphia Phillies,NL
1916,PIT,Pittsburgh Pirates,NL
1916,SLA,St. Louis Browns,AL
1916,SLN,St. Louis Cardinals,NL
1916,WS1,Washington Senators,AL
1917,BOS,Boston Red Sox,AL
1917,BRO,Brooklyn Robins,NL
1917,BSN,Boston Braves,NL
1917,CHA,Chicago White Sox,AL
1917,CHN,Chicago Cubs,NL
1917,CIN,Cincinnati Reds,NL
1917,CLE,Cleveland Indians,AL
1917,DET,Detroit Tigers,AL
1917,NY1,New York Giants,NL
1917,NYA,New York Yankees,AL
1917,PHA,Philadelphia Athletics,AL
1917,PHI,Philadelphia Phillies,NL
1917,PIT,Pittsburgh Pirates,NL
1917,SLA,St. Louis Browns,AL
1917,SLN,St. Louis Cardinals,NL
1917,WS1,Washington Senators,AL
1918,BOS,Boston Red Sox,AL
1918,BRO,Brooklyn Robins,NL
1918,BSN,Boston Braves,NL
1918,CHA,Chicago White Sox,AL
1918,CHN,Chicago Cubs,NL
1918,CIN,Cincinnati Reds,NL
1918,CLE,Cleveland Indians,AL
1918,DET,Detroit Tigers,AL
1918,NY1,New York Giants,NL
1918,NYA,New York Yankees,AL
1918,PHA,Philadelphia Athletics,AL
1918,PHI,Philadelphia Phillies,NL
1918,PIT,Pittsburgh Pirates,NL
1918,SLA,St. Louis Browns,AL
1918,SLN,St. Louis Cardinals,NL
1918,WS1,Washington Senators,AL
1919,BOS,Boston Red Sox,AL
1919,BRO,Brooklyn Robins,NL
1919,BSN,Boston Braves,NL
1919,CHA,Chicago White Sox,AL
1919,CHN,Chicago Cubs,NL
1919,CIN,Cincinnati Reds,NL
1919,CLE,Cleveland Indians,AL
1919,DET,Detroit Tigers,AL
1919,NY1,New York Giants,NL
1919,NYA,New York Yankees,AL
1919,PHA,Philadelphia Athletics,AL
1919,PHI,Philadelphia Phillies,NL
1919,PIT,Pittsburgh Pirates,NL
1919,SLA,St. Louis Browns,AL
1919,SLN,St. Louis Cardinals,NL
1919,WS1,Washington Senators,AL
1920,BOS,Boston Red Sox,AL
1920,BRO,Brooklyn Robins,NL
1920,BSN,Boston Braves,NL
1920,CHA,Chicago White Sox,AL
1920,CHN,Chicago Cubs,NL
1920,CIN,Cincinnati Reds,NL
1920,CLE,Cleveland Indians,AL
1920,DET,Detroit Tigers,AL
1920,NY1,New York Giants,NL
1920,NYA,New York Yankees,AL
1920,PHA,Philadelphia Athletics,AL
1920,PHI,Philadelphia Phillies,NL
1920,PIT,Pittsburgh Pirates,NL
1920,SLA,St. Louis Browns,AL
