county,lat,lon,prop_housing,median_income,avg_duration,median_age,same_house,same_county,same_state,car_alone,carpool,public_transit,walked,transit_other,work_at_home,region
Appomattox County,37.317889,-78.740942,17.979673964941,43983.0,34.06803685329554,43.4,94.0,2.0,4.0,84.0,7.0,0.0,0.0,2.0,8.0,greater_richmond_area
Arlington County,38.895716,-77.158103,17.43619030883451,182104.0,29.18265387689848,39.1,88.0,4.0,5.0,62.0,8.0,20.0,0.0,3.0,8.0,northern_virginia
Arlington County,38.903862,-77.142158,17.62328037728468,184052.0,29.654108476778173,39.4,87.0,7.0,2.0,71.0,9.0,10.0,1.0,2.0,7.0,northern_virginia
Arlington County,38.916747,-77.127803,15.001642036124796,228375.0,26.61999222092571,40.8,85.0,4.0,4.0,70.0,4.0,3.0,5.0,5.0,14.0,northern_virginia
Arlington County,38.911521,-77.105947,20.015094339622642,198750.0,23.75,45.6,93.0,2.0,0.0,74.0,8.0,2.0,1.0,1.0,14.0,northern_virginia
Arlington County,38.901772,-77.113854,17.31402395381018,167656.0,23.93358278765201,38.5,89.0,7.0,2.0,64.0,8.0,6.0,8.0,4.0,11.0,northern_virginia
Arlington County,38.893596,-77.10863,19.535755600401927,118429.0,28.70494807574832,42.2,87.0,9.0,2.0,58.0,3.0,27.0,5.0,1.0,8.0,northern_virginia
Arlington County,38.89069,-77.120587,23.03900966645016,104692.0,31.109483705602344,36.0,93.0,2.0,1.0,63.0,6.0,18.0,4.0,4.0,6.0,northern_virginia
Arlington County,38.894648,-77.128126,24.38776195916173,104167.0,25.705,36.7,82.0,8.0,3.0,74.0,7.0,11.0,3.0,3.0,3.0,northern_virginia
Arlington County,38.886743,-77.132333,20.48787606099667,123351.0,28.60549717057397,36.5,83.0,11.0,2.0,55.0,10.0,20.0,3.0,3.0,9.0,northern_virginia
Arlington County,38.888216,-77.141167,18.727052612777108,151161.0,28.574007220216608,38.4,89.0,6.0,3.0,67.0,8.0,13.0,2.0,4.0,6.0,northern_virginia
Arlington County,38.885351,-77.152569,18.297117360830537,170781.0,28.654778887303852,37.3,81.0,7.0,7.0,61.0,8.0,21.0,1.0,3.0,6.0,northern_virginia
Arlington County,38.872909,-77.138189,24.12853518744715,127716.0,27.79844031193761,39.2,93.0,3.0,1.0,58.0,11.0,13.0,1.0,5.0,12.0,northern_virginia
Arlington County,38.87387,-77.122778,18.993434934143632,170143.0,27.104186717998076,36.1,84.0,4.0,7.0,56.0,6.0,22.0,6.0,5.0,5.0,northern_virginia
Arlington County,38.881706,-77.118095,19.22809756097561,128125.0,26.274900398406373,29.7,77.0,10.0,2.0,56.0,3.0,30.0,3.0,3.0,6.0,northern_virginia
Arlington County,38.885779,-77.112404,18.167482904492594,131906.0,31.05263157894737,31.2,76.0,12.0,2.0,53.0,2.0,33.0,9.0,0.0,3.0,northern_virginia
