state,county,cbsa_name,cbsa_type,total_population,total_households,median_income,income_q1,income_q2,income_q3,income_q4,income_p95,median_age,age_00_02,age_03_04,age_05_05,age_06_08,age_09_11,age_12_14,age_15_18,same_house,same_county,same_state,avg_duration,car_alone,carpool,public_transit,walked,transit_other,at_home,time_0000_0459,time_0500_0529,time_0530_0559,time_0600_0629,time_0630_0659,time_0700_0729,time_0730_0759,time_0800_0829,time_0830_0859,time_0900_0959,time_1000_1059,time_1100_1159,time_1200_1549,time_1600_1149,white_alone,native_american_alone,asian_alone,pacific_alone,other_alone,multiracial,healthcare_private,healthcare_public,healthcare_none,housing_costs,housing_000000_000000,housing_010000_014999,housing_015000_019999,housing_020000_024999,housing_025000_029999,housing_030000_034999,housing_035000_039999,housing_040000_049999,housing_050000_059999,housing_060000_069999,housing_070000_079999,housing_080000_089999,housing_090000_099999,housing_100000_124999,housing_125000_149999,housing_150000_174999,housing_175000_199999,housing_200000_249999,housing_250000_299999,housing_300000_399999,housing_400000_499999,housing_500000_749999,housing_750000_999999,housing_above_1_million,aland
NA,NA,"Madison, IN",Micropolitan,2938,1127,45306,21235,36670,53865,83718,140681,41,1.0798580301685892,0.5483584738243124,0.21384205856255545,0.9538598047914818,1.0328305235137534,1.165927240461402,1.269742679680568,0.8344480560070009,0.09179272409051131,0.052131516439554944,0.23417645287563987,81.88133140376266,10.065123010130247,0.3690303907380608,2.3444283646888566,1.4616497829232995,3.878437047756874,10.715893017873215,5.776649093480777,9.142342805709143,8.885174231708886,10.233701941622734,12.496785392824997,9.071621447859071,4.312395525266812,1.772855857014273,1.5414041404140413,2.266298058377266,0.9113411341134114,12.657515751575158,10.216021602160216,95.03498012142879,0.15409745122815668,0.8382901346811723,0,0.8506179307794249,1.0478626683514654,58.69324159108357,29.89678996900856,11.409968439907878,8796,3.2570422535211265,1.210387323943662,1.111355633802817,1.485475352112676,0.6382042253521127,1.2764084507042255,1.111355633802817,2.0796654929577465,3.32306338028169,7.691461267605634,5.171654929577465,8.59375,6.040933098591549,13.985475352112676,9.870158450704224,11.71875,4.720510563380282,6.987235915492958,5.127640845070423,2.34375,0.8032570422535211,0.7152288732394366,0.08802816901408451,0.6492077464788732,934033344
NA,NA,"Madison, WI",Metropolitan,72792,30652,61227,26883,48822,75195,112895,193717,35.8,0.6863499934751403,0.528154769672452,0.25939579799034324,0.7531319326634477,0.7352864413415111,0.7180934359911262,0.7071316716690591,0.8101065929727596,0.11773678354807451,0.03505789691771101,0.21633094823856758,73.93803981923577,8.67632683742806,4.229122532838539,5.244361516589367,3.375216521922566,4.536932771985703,4.393348329349342,3.5115710784542933,4.988465248639173,9.89413349811207,11.352396545113574,17.725535500921847,14.436602747766964,9.153564335282528,4.650299572635124,4.70863872669581,1.8977849105166575,1.254687453916744,6.644908775834497,5.388063276761378,87.1207089985299,0.2472725865937637,4.322273231372347,0.01885977355376164,1.5073311324891032,2.446773527970495,73.00764217019402,21.740226986128626,5.2521308436773575,13380,1.1528472794071072,0.39906251979476787,0.4510039906251979,0.4256666877810857,0.3034142015582441,0.26287451700766457,0.10705010451637423,0.23373661873693544,0.3743586495217584,0.587825425983404,0.9393805029454614,1.2269588902261355,1.3644137581554445,5.5900424399822635,7.211629822005447,11.63425603344524,10.969785266358397,19.37036802432381,13.343257110280609,12.602774434661429,5.244188256160132,4.180021536707418,1.1078735668588078,0.9172103629568632,8571132545
NA,NA,"Madisonville, KY",Micropolitan,4856,2140,42404,17623,33896,53096,81648,131905,40.3,0.7275700934579439,0.6476635514018692,0.3406542056074766,0.8883177570093458,0.7551401869158878,0.8556074766355141,0.805607476635514,0.8583695628663509,0.0985443298077131,0.03281206064931975,0.21465981012658228,87.35214774849554,7.6156879020543675,0.025938991492010788,2.059555924465657,1.3073251711973437,1.639344262295082,10.15123035909532,6.631531099890663,8.21263160481087,9.518544453863068,10.21019914249561,10.581211071389083,7.805992702613055,3.5811250752466246,2.73713436283001,2.572513175837541,0.632685905232251,2.2162434427941373,13.260605167139644,11.888352436762123,90.29860337588896,0.22491645960071974,0.5976351640819124,0,0.3962813812012681,2.39696684088767,57.61766414875073,30.360255665310866,12.022080185938409,7260,3.0110104112051532,2.127181484532994,2.1196914088832295,2.037300576735825,3.243202756347839,2.247022694929219,2.4043142835742644,5.8422590068159685,6.2017826380046435,7.212942850722792,8.27653359298929,7.340274136768782,5.010860609692158,11.63208748408359,7.085611564676804,7.609916860160287,4.598906448955135,4.898509474945697,3.4379447232417046,2.5541157965695453,0.4868549172346641,0.17227173994457345,0.05992060519811251,0.3894839337877313,1403763235
NA,NA,"Malone, NY",Micropolitan,7573,3677,47110,18429,36e3,58789,89762,142056,39.9,0.45934185477291273,0.2692412292629861,0.16970356268697306,0.47511558335599674,0.4471036170791406,0.46559695403861845,0.49714441120478653,0.8302904320200812,0.07820681269978233,0.07585354852626831,0.2037481745902969,75.81779272393764,10.445327626617752,0.9731988178946296,5.161520432079894,1.8088250280240499,5.793335371446041,5.87852724907754,7.25226301398954,8.286214860237317,10.050171219240264,9.881606540840435,14.776618619096919,10.573119906559421,6.701441427092458,2.993018502296196,2.355923654800775,2.269650394202437,1.2688805712617133,9.314857582755966,8.397706458549017,83.31715461675856,6.993088452279257,0.4018793197173255,0.04077036576842432,1.2483497709093734,2.087054438145531,55.91028221977437,34.28419493295856,9.805522847267065,8508,1.4805630515644372,0.7001677485230837,1.4222157391875137,1.823353511778864,1.1669462475384729,2.0129822770038657,1.4878564656115527,5.564874917949092,4.95952155203851,8.19779738895777,8.059222522062576,7.752899132083728,6.308803150754868,11.844504412515498,6.4327911895558305,8.124863248486616,3.354970461673109,5.491940777477938,2.9757129312231054,2.80796440813945,2.24637152651156,3.121581212165415,1.137772591350011,1.52432353584713,4219273083
NA,NA,"Malvern, AR",Micropolitan,3008,1308,41353,17676,32553,51123,77287,123136,40.2,0.8799694189602446,0.5443425076452599,0.33103975535168195,0.9067278287461774,0.6712538226299695,1.194189602446483,1.106269113149847,0.8629447778383948,0.06707280111535431,0.05713159968479117,0.2649387693009812,84.6948635991972,10.815431502267153,0.5277633241656137,0.8399613469114695,0.8473946331673233,2.2745855942912363,7.09271779854442,7.072621047040753,9.893343668805535,15.725708051619941,10.911100584241277,13.96724229504902,9.332070108953102,8.017168367713133,2.46328754144955,2.919770897032858,1.7886108838264216,0.4923704118398576,3.815511821196331,6.507041040437535,86.0774709258647,0.4778074946659855,0.12320822189500255,0,0.2674519938696397,1.2290771403672205,51.92291602755389,33.784198343419696,14.292885629026411,7344,3.9925286014475834,2.0779827223908476,1.2024282045295354,2.5332710716787297,1.762783095960775,5.486808311930889,1.3541909876254963,6.992762082652347,8.650478636469765,7.062806444081252,5.872052299789867,9.199159467662852,4.120943264067243,10.70511323838431,8.276908708848937,5.241653046929722,2.6850338547746904,5.136586504786365,3.6656549147793602,3.058603782395517,0.1167406023815083,0.24515526500116738,0,0.5603548914312398,1593379456
NA,NA,"Manchester-Nashua, NH",Metropolitan,31898,12767,70906,30380,56631,87426,130262,220739,39.9,1.014020521657398,0.7721469413331244,0.40518524320513827,1.2173572491579854,1.1629983551343306,1.19558236077387,1.312524477167698,0.8665061026856835,0.08526449152648678,0.015697637953311003,0.2703390435221382,81.89986916953806,8.322830155223395,0.9378579267445261,2.0079840128050916,0.8563884083252263,5.975070327363694,5.597070149556234,5.205386475365406,6.3398079760182124,11.40596056768209,11.295478433830912,16.058936373791603,11.640405164002809,10.301610569331782,4.4074075819778376,4.472263988197643,1.6951277567507694,0.9114776042722271,5.75261240284501,4.916549224409764,90.81126978767354,0.1425109738415397,3.499711998728822,0.023089757085824378,1.1443084990168233,2.205195940175184,70.2057363838393,22.032939594964628,7.761324021196078,16488,0.7645497005755926,0.14632066512916916,0.43605496230547103,0.38179034477412355,0.42636485203201613,0.22384154731680847,0.1560107754026241,0.3149285838872847,0.37016221244597763,0.2616329773832826,0.7005949727707901,0.8004031085873757,0.8004031085873757,2.9147851702552376,3.702591135487122,7.606736564662106,9.26277641039555,22.573111882013215,18.0100389542433,18.30849435066571,6.822806643539603,3.528169150564933,0.7626116785209015,0.7248202484544274,2269346872
NA,NA,"Manhattan, KS",Metropolitan,8900,3275,48097,20288,37462,60060,93752,164741,25.9,1.4137404580152673,0.7670229007633588,0.4308396946564885,1.0305343511450382,0.8311450381679389,0.8195419847328245,0.8531297709923664,0.7753531110527697,0.0774796534523497,0.06992911525334733,0.17385765836267988,73.64474858673013,8.481602697609839,0.16661707825052066,7.146682534959833,1.8070018843598137,8.753347218089855,5.864737802895796,4.1236339993498214,5.606541798994724,8.636750106279226,13.472454925104405,18.08559853959839,15.414238915701816,6.7174723048838425,2.8189001975543273,2.8676636074920605,1.880517142214109,0.9402585711070545,4.653154617519818,8.917452299382331,86.14588497768963,0.5381341926954222,3.7256238638241617,0.2964386051892249,0.7126921170054537,3.335192530160304,77.4534148308502,16.100004244662337,6.446580924487456,10836,2.592912705272256,2.1722846441947565,1.2906943244021896,1.6191299337366751,0.564678766925958,1.0256410256410255,0.7893978680495535,2.0628061077499282,1.7747046960530106,2.9904926534140017,1.8668971477960241,2.4027657735522903,2.800345721694036,7.300489772399884,10.694324402189572,12.036876980697206,11.016997983290118,14.854508787093057,8.020743301642177,6.464995678478824,2.345145491212907,1.947565543071161,1.0083549409392105,0.35724575050417745,3757549512
NA,NA,"Manitowoc, WI",Micropolitan,13404,5785,48629,23178,39033,60671,89576,138846,44,0.42420051858254104,0.320656871218669,0.17026793431287812,0.49524632670700086,0.47484874675885913,0.5745894554883318,0.5614520311149525,0.9318522778416762,0.045669350402560385,0.014739710956643497,0.1921302717419222,84.07944122691457,7.608560562750117,0.3803037458676145,3.077229002510502,1.63058338097487,3.223882080982327,9.780894069835838,7.915352120207475,9.552296668627346,10.187957863215871,11.179883428693653,11.53948986685204,8.779610716004491,5.390754505106679,2.2351745895941395,1.876904978343404,1.1683867172878455,1.2813485909844393,10.79621410619753,8.315731779049248,94.43846296640059,0.6336241569209826,2.426830022894623,0.042076604170534,0.8118309510550089,1.1014169915228018,66.20229633679607,28.671405139420447,5.126298523783488,9024,1.4972388582095355,0.8788986544294936,0.48611651240569337,0.5988955432838142,0.21778019755775063,0.3033367037411527,0.412226802520028,1.3183479816442405,2.395582173135257,4.701718907987867,5.883954266158513,8.127868087423193,7.902310025666952,15.365170724119157,12.600140001555573,11.095123279147547,6.039511550128335,8.516761297347749,4.950610562339581,4.351715019055767,1.158901765575173,0.9294547717196857,0.13611262347359415,0.1322236913743486,1526310981
NA,NA,"Mankato-North Mankato, MN",Metropolitan,16927,6710,54112,23373,43152,66555,97732,162672,31.6,0.5214605067064083,0.3301043219076006,0.18211624441132637,0.484053651266766,0.5275707898658718,0.4611028315946349,0.4663189269746647,0.8284505377124665,0.06992854698372862,0.07753015234322337,0.16868293458389635,80.29516977880996,8.002921731313094,0.7716367314067387,3.940591463300433,1.2417358080647276,5.747944487105052,4.359862406936198,3.116459334652719,6.168716426350014,9.101993214588635,12.141292055414194,14.194585807181227,16.41574780887758,6.917349919894448,3.310244086325511,3.2018659881255305,2.456177551597399,1.070233719724814,8.747997361228913,8.797474319102818,92.91295843019981,0.3236279098348064,1.6713947748430509,0.015362084327601567,0.5868316213143799,1.6355499114119803,71.91251578372062,22.807711878781024,5.2797723374983505,10512,2.722323049001815,1.084983823877535,1.0415844709224336,0.4537205081669692,0.765406770299061,0.7614613745758699,0.548410005523554,0.6194271285409927,1.0928746153239168,0.8877140377179831,1.4203424603487729,1.7991004497751124,2.7025960703858596,11.563954864672926,14.597964175806833,14.921486625108498,10.770930324311529,14.120571293300719,7.586995975696362,6.671664167916042,1.9608616744259448,1.1954549041268838,0.4300481338278229,0.2801230963465635,3098869457
NA,NA,"Mansfield, OH",Metropolitan,10261,4314,42042,19259,34061,52308,80305,130948,41.2,0.9394993045897079,0.6828929068150209,0.3335651367640241,0.9993045897079277,1.1142790913305516,1.1036161335187762,1.088317107093185,0.8469052693950442,0.09588274505608453,0.04657114876597566,0.20998826758291259,85.08096466811598,8.403258904081758,0.7212661776956054,2.0683069546313417,0.7029805562892378,3.0232227391860866,7.135124888381165,5.948847395227952,6.753999570984591,9.857876174180257,10.44403094897211,13.894611865768061,11.909168458387999,6.253647878119716,3.6291710524346628,3.8980539661476907,1.5155218772916157,1.1319022842576287,8.755406342444092,8.873136152529943,87.15282584091261,0.0985237719133968,0.6269694576307068,0.020356151221776198,0.5048325503000497,3.1071629224919186,56.97674418604651,32.954426947544064,10.068828866409428,8004,2.978556800385496,1.4124804240452957,1.0872184074207927,1.6744970485483675,1.3913986266714853,1.1504637995422238,1.084206722081677,3.806770268642332,4.794603059872305,6.809420551740754,8.116491988916998,7.977954463317673,6.12877966510059,16.293217684616312,9.619322973135768,9.57414769304903,5.408986869051922,3.800746897964101,2.794843994699434,2.4786170340922777,0.7197927960486689,0.46379954222382846,0.11745572822551499,0.31622696060715577,1282720855
NA,NA,"Marietta, OH",Micropolitan,5941,2646,43512,18164,34099,54377,84452,145877,43.5,0.6583522297808012,0.5052910052910053,0.2566137566137566,0.7879818594104309,0.872260015117158,0.7316704459561603,0.8858654572940288,0.8812320328542095,0.06986447638603696,0.016344969199178643,0.22826581609849256,85.69062080933975,8.022402776682181,0.22087244616234128,2.4374852094344086,0.6981146959059714,2.930504062475349,8.019972053365612,5.584876776702831,8.861041145634006,13.823793800119264,8.989204054932047,14.323985154463006,9.557926964942103,8.281637993182445,3.192502469806065,3.4995594399992878,1.6563275986364892,0.7404968092775706,6.360084373915289,7.107701344820527,96.33985652237568,0.11061766954597954,0.7222683129178664,0.03741479999349308,0.14640573910497293,1.5584077562507117,57.734442213937484,33.09435044450817,9.171207341554345,7296,3.8850452368281005,1.2293773283661522,1.0058541777541246,0.6599254922831292,0.7344332091538052,1.84140500266099,1.1016498137307078,2.831293241085684,4.28951569984034,5.763704097924427,6.60457690260777,7.871208089409261,7.339010111761575,14.773815859499734,9.824374667376263,10.441724321447579,5.348589675359234,5.380521554018094,3.028206492815327,3.3581692389568922,1.2293773283661522,0.6652474720596061,0.5002660989888238,0.2927088877062267,1636799193
