id,name_full
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Browns
WAS,Washington Senators
BLN,Baltimore Orioles
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
CL4,Cleveland Spiders
LS3,Louisville Colonels
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Perfectos
WAS,Washington Senators
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHN,Chicago Orphans
CIN,Cincinnati Reds
NY1,New York Giants
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Cardinals
BLA,Baltimore Orioles
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Orphans
CIN,Cincinnati Reds
CLE,Cleveland Blues
DET,Detroit Tigers
MLA,Milwaukee Brewers
NY1,New York Giants
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLN,St. Louis Cardinals
WS1,Washington Senators
BLA,Baltimore Orioles
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Orphans
CIN,Cincinnati Reds
CLE,Cleveland Bronchos
DET,Detroit Tigers
NY1,New York Giants
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Beaneaters
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Americans
BRO,Brooklyn Superbas
BSN,Boston Doves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Superbas
BSN,Boston Doves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Superbas
BSN,Boston Doves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Superbas
BSN,Boston Doves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Dodgers
BSN,Boston Rustlers
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Dodgers
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Highlanders
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Superbas
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BLF,Baltimore Terrapins
BOS,Boston Red Sox
BRF,Brooklyn Tip-Tops
BRO,Brooklyn Robins
BSN,Boston Braves
BUF,Buffalo Buffeds
CHA,Chicago White Sox
CHF,Chicago Chi-Feds
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Naps
DET,Detroit Tigers
IND,Indianapolis Hoosiers
KCF,Kansas City Packers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
PTF,Pittsburgh Rebels
SLA,St. Louis Browns
SLF,St. Louis Terriers
SLN,St. Louis Cardinals
WS1,Washington Senators
BLF,Baltimore Terrapins
BOS,Boston Red Sox
BRF,Brooklyn Tip-Tops
BRO,Brooklyn Robins
BSN,Boston Braves
BUF,Buffalo Blues
CHA,Chicago White Sox
CHF,Chicago Whales
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
KCF,Kansas City Packers
NEW,Newark Pepper
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
PTF,Pittsburgh Rebels
SLA,St. Louis Browns
SLF,St. Louis Terriers
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
PHA,Philadelphia Athletics
PHI,Philadelphia Phillies
PIT,Pittsburgh Pirates
SLA,St. Louis Browns
SLN,St. Louis Cardinals
WS1,Washington Senators
BOS,Boston Red Sox
BRO,Brooklyn Robins
BSN,Boston Braves
CHA,Chicago White Sox
CHN,Chicago Cubs
CIN,Cincinnati Reds
CLE,Cleveland Indians
DET,Detroit Tigers
NY1,New York Giants
NYA,New York Yankees
