offense_team,defense_team,yards_gained,yards_net,yards_to_go,down,quarter,first_down,interception,fumble,pass,pass_complete,poss_team_score,def_team_score,yards_to_touchdown,drive,pass_location,run_location,passer,rusher,receiver
PIT,NE,0,16,10,1,4,0,0,0,1,0,14,28,54,18,middle,,B.Roethlisberger,,M.Wheaton
PIT,NE,2,18,10,2,4,0,0,0,1,1,14,28,54,18,left,,B.Roethlisberger,,D.Heyward
PIT,NE,13,31,8,3,4,0,0,0,1,1,14,28,52,18,middle,,B.Roethlisberger,,A.Brown
PIT,NE,18,32,27,2,4,0,0,0,1,1,14,28,56,18,middle,,B.Roethlisberger,,H.Miller
PIT,NE,0,32,9,3,4,0,0,0,1,0,14,28,38,18,left,,B.Roethlisberger,,M.Wheaton
PIT,NE,16,48,9,4,4,0,0,0,1,1,14,28,38,18,left,,B.Roethlisberger,,T.Murphy
PIT,NE,11,59,10,1,4,1,0,0,1,1,14,28,22,18,left,,B.Roethlisberger,,M.Wheaton
PIT,NE,11,70,10,1,4,0,0,0,1,1,20,28,11,18,left,,B.Roethlisberger,,A.Brown
CHI,GB,3,3,10,1,1,0,0,0,0,0,0,0,80,1,,right,,M.Forte,
CHI,GB,22,25,7,2,1,1,0,0,0,0,0,0,77,1,,left,,M.Forte,
CHI,GB,8,33,10,1,1,0,0,0,1,1,0,0,55,1,right,,J.Cutler,,E.Royal
CHI,GB,4,37,2,2,1,1,0,0,0,0,0,0,47,1,,left,,J.Rodgers,
CHI,GB,6,43,10,1,1,0,0,0,1,1,0,0,43,1,left,,J.Cutler,,M.Bennett
CHI,GB,0,43,4,2,1,0,0,0,1,0,0,0,37,1,right,,J.Cutler,,Z.Miller
CHI,GB,25,72,4,3,1,1,0,0,1,1,0,0,37,1,middle,,J.Cutler,,A.Jeffery
CHI,GB,4,72,10,1,1,0,0,0,0,0,0,0,12,1,,right,,J.Cutler,
CHI,GB,5,72,11,2,1,0,0,0,1,1,0,0,13,1,right,,J.Cutler,,M.Forte
GB,CHI,2,2,10,1,1,0,0,0,0,0,0,3,61,2,,left,,A.Rodgers,
GB,CHI,5,7,8,2,1,0,0,0,0,0,0,3,59,2,,left,,E.Lacy,
GB,CHI,0,7,3,3,1,0,0,0,1,0,0,3,54,2,right,,A.Rodgers,,D.Adams
CHI,GB,1,1,10,1,1,0,0,0,0,0,3,0,80,3,,right,,J.Langford,
CHI,GB,9,10,9,2,1,1,0,0,1,1,3,0,79,3,right,,J.Cutler,,M.Forte
CHI,GB,1,11,10,1,1,0,0,0,0,0,3,0,70,3,,right,,M.Forte,
CHI,GB,0,11,9,2,1,0,0,0,1,0,3,0,69,3,right,,J.Cutler,,E.Royal
GB,CHI,20,20,10,1,1,1,0,0,1,1,0,3,77,4,middle,,A.Rodgers,,R.Rodgers
GB,CHI,1,21,10,1,1,0,0,0,0,0,0,3,57,4,,left,,E.Lacy,
GB,CHI,9,30,9,2,1,1,0,0,1,1,0,3,56,4,left,,A.Rodgers,,E.Lacy
GB,CHI,16,46,10,1,1,1,0,0,0,0,0,3,47,4,,left,,E.Lacy,
GB,CHI,4,50,10,1,1,0,0,0,0,0,0,3,31,4,,left,,E.Lacy,
GB,CHI,5,55,6,2,1,0,0,0,1,1,0,3,27,4,left,,A.Rodgers,,R.Rodgers
GB,CHI,2,57,1,3,1,1,0,0,0,0,0,3,22,4,,right,,A.Rodgers,
GB,CHI,0,57,10,1,1,0,0,0,1,0,0,3,20,4,right,,A.Rodgers,,D.Adams
GB,CHI,7,64,10,2,1,0,0,0,1,1,0,3,20,4,right,,A.Rodgers,,D.Adams
GB,CHI,13,77,3,3,1,0,0,0,1,1,6,3,13,4,left,,A.Rodgers,,J.Jones
CHI,GB,2,2,10,1,1,0,0,0,0,0,3,7,80,5,,left,,M.Forte,
CHI,GB,5,7,8,2,2,0,0,0,0,0,3,7,78,5,,right,,M.Forte,
CHI,GB,8,15,3,3,2,1,0,0,0,0,3,7,73,5,,right,,M.Forte,
CHI,GB,6,21,10,1,2,0,0,0,0,0,3,7,65,5,,left,,M.Forte,
CHI,GB,8,34,10,1,2,0,0,0,0,0,3,7,54,5,,left,,M.Forte,
CHI,GB,0,34,2,2,2,0,0,0,1,0,3,7,46,5,left,,J.Cutler,,J.Rodgers
CHI,GB,4,38,2,3,2,1,0,0,1,1,3,7,46,5,left,,J.Cutler,,M.Bennett
CHI,GB,23,66,5,1,2,0,0,0,0,0,3,7,37,5,,left,,M.Forte,
CHI,GB,0,66,10,1,2,0,0,0,1,0,3,7,14,5,left,,J.Cutler,,A.Jeffery
CHI,GB,5,71,10,2,2,0,0,0,0,0,3,7,14,5,,left,,M.Forte,
CHI,GB,0,71,5,3,2,0,0,0,1,0,3,7,9,5,left,,J.Cutler,,M.Forte
CHI,GB,1,76,1,4,2,1,0,0,0,0,3,7,5,5,,right,,M.Forte,
CHI,GB,0,76,4,1,2,0,0,0,1,0,3,7,4,5,left,,J.Cutler,,M.Forte
CHI,GB,3,79,4,2,2,0,0,0,0,0,3,7,4,5,,right,,M.Forte,
CHI,GB,1,80,1,3,2,0,0,0,0,0,9,7,1,5,,left,,M.Forte,
GB,CHI,7,7,10,1,2,0,0,0,0,0,7,10,80,6,,left,,E.Lacy,
GB,CHI,3,10,3,3,2,1,0,0,1,1,7,10,73,6,left,,A.Rodgers,,J.Jones
GB,CHI,4,14,10,1,2,0,0,0,1,1,7,10,70,6,right,,A.Rodgers,,R.Cobb
GB,CHI,34,48,6,2,2,1,0,0,1,1,7,10,66,6,left,,A.Rodgers,,J.Jones
GB,CHI,21,69,10,1,2,1,0,0,1,1,7,10,32,6,right,,A.Rodgers,,D.Adams
GB,CHI,3,72,10,1,2,0,0,0,0,0,7,10,11,6,,left,,E.Lacy,
GB,CHI,-1,61,17,2,2,0,0,0,0,0,7,10,18,6,,left,,E.Lacy,
GB,CHI,10,61,28,3,2,0,0,0,1,1,7,10,29,6,left,,A.Rodgers,,R.Cobb
CHI,GB,4,4,10,1,2,0,0,0,0,0,10,10,79,7,,right,,J.Cutler,
CHI,GB,3,7,6,2,2,0,0,0,0,0,10,10,75,7,,left,,M.Forte,
CHI,GB,8,15,3,3,2,1,0,0,0,0,10,10,72,7,,left,,M.Forte,
CHI,GB,5,47,10,1,2,0,0,0,1,1,10,10,64,7,right,,J.Cutler,,M.Forte
CHI,GB,0,20,5,2,2,0,0,0,1,0,10,10,59,7,right,,J.Cutler,,E.Royal
CHI,GB,12,32,5,3,2,1,0,0,0,0,10,10,59,7,,right,,J.Cutler,
CHI,GB,0,32,10,1,2,0,0,0,1,0,10,10,47,7,right,,J.Cutler,,A.Jeffery
CHI,GB,6,38,10,2,2,0,0,0,0,0,10,10,47,7,,left,,M.Forte,
CHI,GB,9,47,4,3,2,1,0,0,1,1,10,10,41,7,left,,J.Cutler,,M.Wilson
CHI,GB,0,47,10,2,2,0,0,0,1,0,10,10,32,7,left,,J.Cutler,,A.Jeffery
GB,CHI,11,11,10,1,3,1,0,0,0,0,10,13,59,9,,right,,R.Rodgers,
GB,CHI,2,13,10,1,3,0,0,0,1,1,10,13,48,9,right,,A.Rodgers,,R.Rodgers
GB,CHI,15,28,8,2,3,1,0,0,0,0,10,13,46,9,,left,,E.Lacy,
GB,CHI,25,53,10,1,3,1,0,0,1,1,10,13,31,9,right,,A.Rodgers,,D.Adams
GB,CHI,5,59,6,1,3,0,0,0,1,1,10,13,6,9,middle,,A.Rodgers,,E.Lacy
GB,CHI,1,59,1,2,3,0,0,0,1,1,16,13,1,9,left,,A.Rodgers,,J.Jones
CHI,GB,2,7,10,1,3,1,0,0,0,0,13,17,82,10,,left,,M.Forte,
CHI,GB,2,9,10,1,3,0,0,0,0,0,13,17,75,10,,right,,M.Forte,
CHI,GB,-1,8,8,2,3,0,0,0,0,0,13,17,73,10,,right,,M.Forte,
CHI,GB,12,20,9,3,3,1,0,0,1,1,13,17,74,10,right,,J.Cutler,,M.Bennett
CHI,GB,20,40,10,1,3,1,0,0,0,0,13,17,62,10,,right,,M.Forte,
CHI,GB,5,45,10,1,3,0,0,0,0,0,13,17,42,10,,right,,J.Rodgers,
CHI,GB,2,47,5,2,3,0,0,0,0,0,13,17,37,10,,left,,J.Rodgers,
CHI,GB,12,59,3,3,3,1,0,0,1,1,13,17,35,10,left,,J.Cutler,,A.Jeffery
CHI,GB,2,51,20,1,3,0,0,0,0,0,13,17,33,10,,right,,M.Forte,
CHI,GB,0,51,18,2,3,0,0,0,1,0,13,17,31,10,right,,J.Cutler,,M.Forte
CHI,GB,5,56,18,3,3,0,0,0,0,0,13,17,31,10,,left,,J.Rodgers,
GB,CHI,8,8,10,1,3,0,0,0,0,0,17,16,78,11,,left,,E.Lacy,
GB,CHI,4,7,7,2,3,0,0,0,0,0,17,16,75,11,,left,,E.Lacy,
GB,CHI,9,11,8,3,3,1,0,0,1,1,17,16,76,11,right,,A.Rodgers,,R.Cobb
GB,CHI,2,13,10,1,3,0,0,0,0,0,17,16,67,11,,right,,E.Lacy,
GB,CHI,4,17,8,2,3,0,0,0,0,0,17,16,65,11,,right,,A.Rodgers,
GB,CHI,12,29,4,3,3,1,0,0,0,0,17,16,61,11,,left,,A.Rodgers,
GB,CHI,0,29,10,1,3,0,0,0,1,0,17,16,49,11,left,,A.Rodgers,,D.Adams
GB,CHI,-1,28,10,2,3,0,0,0,0,0,17,16,49,11,,right,,J.Starks,
GB,CHI,10,78,11,3,4,0,0,0,1,1,17,16,50,11,left,,A.Rodgers,,R.Cobb
GB,CHI,3,41,1,4,4,1,0,0,0,0,17,16,40,11,,left,,J.Starks,
GB,CHI,15,56,10,1,4,1,0,0,0,0,17,16,37,11,,left,,A.Rodgers,
GB,CHI,1,57,10,1,4,0,0,0,0,0,17,16,22,11,,right,,E.Lacy,
GB,CHI,5,62,9,2,4,0,0,0,0,0,17,16,21,11,,right,,E.Lacy,
GB,CHI,5,67,4,3,4,1,0,0,0,0,17,16,16,11,,right,,E.Lacy,
GB,CHI,1,68,10,1,4,0,0,0,0,0,17,16,11,11,,right,,A.Rodgers,
GB,CHI,5,78,4,2,4,0,0,0,1,1,23,16,5,11,left,,A.Rodgers,,R.Cobb
CHI,GB,11,11,10,1,4,1,0,0,0,0,16,24,80,12,,left,,J.Cutler,
CHI,GB,3,14,10,1,4,0,0,0,0,0,16,24,69,12,,right,,M.Forte,
CHI,GB,0,14,7,2,4,0,0,0,1,0,16,24,66,12,right,,J.Cutler,,A.Jeffery
CHI,GB,50,78,7,3,4,1,0,0,1,1,16,24,66,12,left,,J.Cutler,,M.Wilson
CHI,GB,10,74,10,1,4,1,0,0,1,1,16,24,16,12,left,,J.Cutler,,A.Jeffery
CHI,GB,4,78,6,1,4,0,0,0,1,1,16,24,6,12,left,,J.Cutler,,M.Forte
CHI,GB,0,78,2,2,4,0,0,0,1,0,16,24,2,12,right,,J.Cutler,,E.Royal
CHI,GB,0,78,2,3,4,0,0,0,1,0,16,24,2,12,right,,J.Cutler,,A.Jeffery
CHI,GB,0,78,2,4,4,1,0,0,1,0,16,24,2,12,right,,J.Cutler,,E.Royal
GB,CHI,6,6,10,1,4,0,0,0,1,1,24,16,98,13,right,,A.Rodgers,,D.Adams
GB,CHI,1,7,4,2,4,0,0,0,0,0,24,16,92,13,,left,,E.Lacy,
GB,CHI,0,7,3,3,4,0,0,0,1,0,24,16,91,13,right,,A.Rodgers,,E.Lacy
CHI,GB,8,8,10,1,4,0,0,0,0,0,16,24,41,14,,left,,M.Forte,
CHI,GB,0,3,7,2,4,0,0,0,0,0,16,24,38,14,,left,,M.Forte,
CHI,GB,9,12,7,3,4,1,0,0,1,1,16,24,38,14,right,,J.Cutler,,M.Bennett
GB,CHI,1,1,10,1,4,0,0,0,0,0,24,16,48,15,,right,,E.Lacy,
GB,CHI,5,11,4,2,4,1,0,0,0,0,24,16,42,15,,left,,E.Lacy,
GB,CHI,1,12,10,1,4,0,0,0,0,0,24,16,37,15,,left,,E.Lacy,
GB,CHI,2,48,2,1,4,0,0,0,0,0,30,16,2,15,,left,,E.Lacy,
CHI,GB,17,17,10,1,4,1,0,0,1,1,16,31,72,16,middle,,J.Cutler,,A.Jeffery
CHI,GB,14,46,10,1,4,1,0,0,1,1,16,31,55,16,left,,J.Cutler,,A.Jeffery
CHI,GB,0,46,10,1,4,0,0,0,1,0,16,31,26,16,right,,J.Cutler,,A.Jeffery
CHI,GB,0,46,10,2,4,0,0,0,1,0,16,31,26,16,left,,J.Cutler,,M.Bennett
CHI,GB,2,48,10,3,4,0,0,0,1,1,16,31,26,16,left,,J.Cutler,,M.Forte
CHI,GB,24,72,8,4,4,0,0,0,1,1,22,31,24,16,right,,J.Cutler,,M.Bennett
KC,HOU,4,9,5,1,1,0,0,0,0,0,0,0,75,1,,left,,J.Charles,
KC,HOU,13,22,1,2,1,1,0,0,1,1,0,0,71,1,right,,A.Smith,,A.Wilson
KC,HOU,9,31,10,1,1,0,0,0,1,1,0,0,58,1,left,,A.Smith,,J.Maclin
KC,HOU,4,35,1,2,1,1,0,0,0,0,0,0,49,1,,right,,A.Smith,
KC,HOU,2,37,10,1,1,0,0,0,0,0,0,0,45,1,,middle,,J.Charles,
KC,HOU,0,37,8,2,1,0,0,0,1,0,0,0,43,1,right,,A.Smith,,J.Maclin
KC,HOU,0,37,8,3,1,0,0,0,1,0,0,0,43,1,left,,A.Smith,,J.Charles
KC,HOU,3,3,10,1,1,0,0,0,0,0,0,0,13,3,,right,,J.Charles,
KC,HOU,10,13,7,2,1,0,0,0,1,1,6,0,10,3,middle,,A.Smith,,T.Kelce
HOU,KC,3,3,10,1,1,0,0,0,0,0,0,7,80,4,,left,,A.Blue,
HOU,KC,19,22,7,2,1,1,0,0,1,1,0,7,77,4,left,,B.Hoyer,,N.Washington
HOU,KC,11,33,10,1,1,1,0,0,0,0,0,7,58,4,,right,,A.Blue,
HOU,KC,0,33,10,1,1,0,0,0,1,0,0,7,47,4,left,,B.Hoyer,,R.Griffin
HOU,KC,0,33,10,2,1,0,0,0,1,0,0,7,47,4,left,,B.Hoyer,,C.Shorts
HOU,KC,0,33,10,3,1,0,0,0,1,0,0,7,47,4,middle,,B.Hoyer,,C.Shorts
KC,HOU,-3,-3,10,1,1,0,0,0,0,0,7,0,83,5,,left,,J.Charles,
KC,HOU,0,-3,13,2,1,0,0,0,1,0,7,0,86,5,right,,A.Smith,,J.Charles
KC,HOU,17,41,13,3,1,1,0,0,1,1,7,0,86,5,right,,A.Smith,,J.Charles
KC,HOU,5,19,10,1,1,0,0,0,0,0,7,0,69,5,,left,,A.Smith,
KC,HOU,10,29,5,2,1,1,0,0,1,1,7,0,64,5,left,,A.Smith,,J.Charles
KC,HOU,8,37,10,1,1,0,0,0,1,1,7,0,54,5,right,,A.Smith,,J.Maclin
KC,HOU,4,41,2,2,1,1,0,0,0,0,7,0,46,5,,right,,K.Davis,
KC,HOU,42,83,10,1,1,0,0,0,1,1,13,0,42,5,left,,A.Smith,,T.Kelce
HOU,KC,6,6,10,1,1,0,0,0,1,1,0,14,80,6,right,,B.Hoyer,,K.Mumphery
HOU,KC,2,8,4,2,1,0,0,0,0,0,0,14,74,6,,middle,,A.Blue,
HOU,KC,15,23,2,3,1,1,0,0,1,1,0,14,72,6,middle,,B.Hoyer,,C.Shorts
HOU,KC,21,44,10,1,1,1,0,0,0,0,0,14,57,6,,right,,J.Grimes,
HOU,KC,19,63,10,1,1,1,0,0,1,1,0,14,36,6,middle,,B.Hoyer,,N.Washington
HOU,KC,15,78,10,1,1,1,0,0,1,1,0,14,17,6,middle,,B.Hoyer,,C.Shorts
HOU,KC,-2,76,2,1,1,0,0,0,0,0,0,14,2,6,,right,,J.Grimes,
HOU,KC,4,80,4,2,1,0,0,0,1,1,6,14,4,6,right,,B.Hoyer,,D.Hopkins
KC,HOU,11,11,10,1,1,0,0,0,1,1,14,6,75,7,left,,A.Smith,,J.Charles
KC,HOU,9,38,10,1,2,0,0,0,0,0,14,6,64,7,,right,,D.Thomas,
KC,HOU,18,38,1,2,2,1,0,0,1,1,14,6,55,7,left,,A.Smith,,T.Kelce
KC,HOU,2,40,10,1,2,0,0,0,0,0,14,6,37,7,,left,,J.Charles,
KC,HOU,13,65,8,2,2,1,0,0,1,1,14,6,35,7,middle,,A.Smith,,J.Maclin
